state,length,q
CT,2,.000015273363
CT,3,.0004131977
CT,4,.00034554303
CT,5,.00077146111
CT,6,.0017914259
CT,7,.023476977
CT,8,.049370099
CT,9,.02143622
CT,10,.031192344
CT,11,.0088918889
CT,12,.0048448709
CT,13,.0033634279
CT,14,.0056975069
CT,15,.0061870809
CT,16,.087487943
DE,5,2.8810132e-06
DE,6,1.9812971e-06
DE,7,6.7427351e-07
DE,8,8.9240882e-07
DE,9,2.6543814e-06
DE,10,7.1595323e-06
DE,11,4.9029622e-06
DE,12,.000010696416
DE,13,3.0661835e-07
DE,14,1.6638436e-08
DE,15,5.3281060e-09
MA,2,.000011057584
MA,3,.00023820347
MA,4,.00019941472
MA,5,.00044538948
MA,6,.001037074
MA,7,.013565943
MA,8,.028024225
MA,9,.018136432
MA,10,.026332229
MA,11,.0075869937
MA,12,.0041856668
MA,13,.0029127304
MA,14,.004930411
MA,15,.005358845
MA,16,.075708814
MD,5,1.3197787e-06
MD,6,8.9399737e-07
MD,7,3.0470784e-07
MD,8,4.3275296e-07
MD,9,1.3355562e-06
MD,10,3.6519805e-06
MD,11,2.3941682e-06
MD,12,4.9486252e-06
MD,13,1.4034856e-07
MD,14,7.6354549e-09
MD,15,2.4369662e-09
NC,5,3.6130589e-06
NC,6,2.4511232e-06
NC,7,8.3365165e-07
NC,8,1.1675777e-06
NC,9,3.5807586e-06
NC,10,9.7779212e-06
NC,11,6.4667438e-06
NC,12,.000013492048
NC,13,3.8329139e-07
NC,14,2.0839739e-08
NC,15,6.6560006e-09
NJ,4,.000093374714
NJ,5,.00065903662
NJ,6,.0023219867
NJ,7,.0034497993
NJ,8,.0033564148
NJ,9,.0010954131
NJ,10,.0037131871
NJ,11,.0018291812
NJ,12,.0019297057
NJ,13,.00081594964
NJ,14,.00072884501
NJ,15,.0019041304
NY,2,.000033010438
NY,3,.00071191392
NY,4,.00059753098
NY,5,.0013359878
NY,6,.0031340281
NY,7,.041099381
NY,8,.08302211
NY,9,.053064995
NY,10,.076581873
NY,11,.022338722
NY,12,.012559305
NY,13,.008776458
NY,14,.014846021
NY,15,.016152417
NY,16,.22796775
RI,2,.000011223568
RI,3,.00026719162
RI,4,.00022487564
RI,5,.00050332281
RI,6,.0011894441
RI,7,.015590954
RI,8,.030458461
RI,9,.016209006
RI,10,.023234773
RI,11,.0069200513
RI,12,.003992538
RI,13,.0028043014
RI,14,.0047380002
RI,15,.0051630195
RI,16,.072754249
VA,5,.0001010086
VA,6,.000076664706
VA,7,.000025877192
VA,8,.00003409378
VA,9,.0001110831
VA,10,.00031111209
VA,11,.00019324532
VA,12,.0003660717
VA,13,.000010174082
VA,14,5.5549265e-07
VA,15,1.7637184e-07
