state,length,prob_catch,cdf_star,prob_star,
CT,2,0.0001,0.0001,0.0001,
CT,3,0.0011,0.001333057,0.0012,
CT,4,0.0067,0.008596715,0.0073,
CT,5,0.0143,0.024205438,0.0156,
CT,6,0.0197,0.045715942,0.0215,
CT,7,0.0228,0.070589726,0.0249,
CT,8,0.0420,0.116480358,0.0459,
CT,9,0.0374,0.157283097,0.0408,
CT,10,0.0856,0.250764135,0.0935,
CT,11,0.0964,0.356051158,0.1053,
CT,12,0.1565,0.526948556,0.1709,
CT,13,0.1462,0.686676229,0.1597,
CT,14,0.1358,0.835,0.1483,
CT,15,0.0701,0.884087619,0.0491,
CT,16,0.0524,0.920780516,0.0367,
CT,17,0.0429,0.950861862,0.0301,
CT,18,0.0337,0.974459893,0.0236,
CT,19,0.0200,0.988496357,0.0140,
CT,20,0.0102,0.9956594,0.0072,
CT,21,0.0031,0.997837176,0.0022,
CT,22,0.0019,0.999161727,0.0013,
CT,23,0.0010,0.999880573,0.0007,
CT,24,0.0000,0.999892633,0.0000,
CT,25,0.0000,0.999896407,0.0000,
CT,26,0.0001,1,0.0001,
CT,34,0.0000,1,0.0000,
DE,4,0.0125,0.0125,0.0125,
DE,5,0.0703,0.068538439,0.0560,
DE,6,0.1009,0.148915343,0.0804,
DE,7,0.0781,0.211136084,0.0622,
DE,8,0.0757,0.271427293,0.0603,
DE,9,0.1237,0.369981057,0.0986,
DE,10,0.1689,0.504467552,0.1345,
DE,11,0.1807,0.648368123,0.1439,
DE,12,0.0869,0.715,0.0666,
DE,13,0.0324,0.805192884,0.0902,
DE,14,0.0239,0.871791336,0.0666,
DE,15,0.0225,0.934555971,0.0628,
DE,16,0.0059,0.951002281,0.0164,
DE,17,0.0076,0.972172991,0.0212,
DE,18,0.0012,0.975388147,0.0032,
DE,19,0.0008,0.97765736,0.0023,
DE,20,0.0072,0.997798546,0.0201,
DE,21,0.0006,0.99954121,0.0017,
DE,22,0.0000,0.999544866,0.0000,
DE,23,0.0000,0.999548814,0.0000,
DE,24,0.0002,1,0.0005,
DE,25,0.0000,1,0.0000,
DE,26,0.0000,1,0.0000,
DE,34,0.0000,1,0.0000,
MA,2,0.0001,0.0001,0.0001,
MA,3,0.0011,0.000963682,0.0008,
MA,4,0.0067,0.006009909,0.0050,
MA,5,0.0143,0.016853643,0.0108,
MA,6,0.0197,0.031797477,0.0149,
MA,7,0.0228,0.049077857,0.0173,
MA,8,0.0420,0.080959118,0.0319,
MA,9,0.0374,0.109305704,0.0283,
MA,10,0.0856,0.174249097,0.0649,
MA,11,0.0964,0.247394375,0.0731,
MA,12,0.1565,0.366120665,0.1187,
MA,13,0.1462,0.477087095,0.1110,
MA,14,0.1358,0.58,0.1029,
MA,15,0.0701,0.704950302,0.1250,
MA,16,0.0524,0.798350404,0.0934,
MA,17,0.0429,0.874921104,0.0766,
MA,18,0.0337,0.934988819,0.0601,
MA,19,0.0200,0.970717999,0.0357,
MA,20,0.0102,0.988951199,0.0182,
MA,21,0.0031,0.994494629,0.0055,
MA,22,0.0019,0.997866214,0.0034,
MA,23,0.0010,0.999696004,0.0018,
MA,24,0.0000,0.999726703,0.0000,
MA,25,0.0000,0.999736308,0.0000,
MA,26,0.0001,1,0.0003,
MA,34,0.0000,1,0.0000,
MD,4,0.0125,0.0125,0.0125,
MD,5,0.0703,0.085927724,0.0734,
MD,6,0.1009,0.191260812,0.1053,
MD,7,0.0781,0.272800441,0.0815,
MD,8,0.0757,0.351811438,0.0790,
MD,9,0.1237,0.480965112,0.1292,
MD,10,0.1689,0.657208253,0.1762,
MD,11,0.1807,0.845788442,0.1886,
MD,12,0.0869,0.937,0.0912,
MD,13,0.0324,0.956937374,0.0199,
MD,14,0.0239,0.971659137,0.0147,
MD,15,0.0225,0.985533425,0.0139,
MD,16,0.0059,0.989168925,0.0036,
MD,17,0.0076,0.993848767,0.0047,
MD,18,0.0012,0.994559485,0.0007,
MD,19,0.0008,0.995061101,0.0005,
MD,20,0.0072,0.999513363,0.0045,
MD,21,0.0006,0.999898583,0.0004,
MD,22,0.0000,0.999899391,0.0000,
MD,23,0.0000,0.999900264,0.0000,
MD,24,0.0002,1,0.0001,
MD,25,0.0000,1,0.0000,
MD,26,0.0000,1,0.0000,
MD,34,0.0000,1,0.0000,
NC,4,0.0125,0.0125,0.0125,
NC,5,0.0703,0.088277627,0.0757,
NC,6,0.1009,0.196983173,0.1087,
NC,7,0.0781,0.281133462,0.0842,
NC,8,0.0757,0.362674161,0.0815,
NC,9,0.1237,0.495962958,0.1333,
NC,10,0.1689,0.677848889,0.1819,
NC,11,0.1807,0.872466864,0.1946,
NC,12,0.0869,0.967,0.0945,
NC,13,0.0324,0.977443387,0.0104,
NC,14,0.0239,0.985154786,0.0077,
NC,15,0.0225,0.99242227,0.0073,
NC,16,0.0059,0.99432658,0.0019,
NC,17,0.0076,0.996777925,0.0025,
NC,18,0.0012,0.997150207,0.0004,
NC,19,0.0008,0.997412958,0.0003,
NC,20,0.0072,0.999745095,0.0023,
NC,21,0.0006,0.999946877,0.0002,
NC,22,0.0000,0.9999473,0.0000,
NC,23,0.0000,0.999947757,0.0000,
NC,24,0.0002,1,0.0001,
NC,25,0.0000,1,0.0000,
NC,26,0.0000,1,0.0000,
NC,34,0.0000,1,0.0000,
NJ,3,0.0012,0.0012,0.0012,
NJ,4,0.0082,0.007059891,0.0059,
NJ,5,0.0386,0.034828698,0.0278,
NJ,6,0.0637,0.080689308,0.0459,
NJ,7,0.0778,0.136657177,0.0560,
NJ,8,0.0539,0.175447951,0.0388,
NJ,9,0.0724,0.227532305,0.0521,
NJ,10,0.1141,0.30963583,0.0821,
NJ,11,0.1596,0.424481492,0.1148,
NJ,12,0.2027,0.57,0.1455,
NJ,13,0.0909,0.758030389,0.1880,
NJ,14,0.0546,0.870953053,0.1129,
NJ,15,0.0360,0.945482284,0.0745,
NJ,16,0.0119,0.970060699,0.0246,
NJ,17,0.0077,0.986046368,0.0160,
NJ,18,0.0026,0.991390952,0.0053,
NJ,19,0.0010,0.993483458,0.0021,
NJ,20,0.0006,0.994693631,0.0012,
NJ,21,0.0002,0.995193789,0.0005,
NJ,22,0.0013,0.997879607,0.0027,
NJ,23,0.0000,0.997879607,0.0000,
NJ,24,0.0000,0.997879607,0.0000,
NJ,25,0.0000,0.997879607,0.0000,
NJ,26,0.0006,0.99908978,0.0012,
NJ,34,0.0004,1,0.0009,
NY,2,0.0001,0.0001,0.0001,
NY,3,0.0011,0.001373631,0.0013,
NY,4,0.0067,0.00888086,0.0075,
NY,5,0.0143,0.02501299,0.0161,
NY,6,0.0197,0.047244805,0.0222,
NY,7,0.0228,0.072952679,0.0257,
NY,8,0.0420,0.120382159,0.0474,
NY,9,0.0374,0.162553133,0.0422,
NY,10,0.0856,0.259168864,0.0966,
NY,11,0.0964,0.36798647,0.1088,
NY,12,0.1565,0.54461456,0.1766,
NY,13,0.1462,0.70969837,0.1651,
NY,14,0.1358,0.863,0.1533,
NY,15,0.0701,0.903757598,0.0408,
NY,16,0.0524,0.934223822,0.0305,
NY,17,0.0429,0.959200455,0.0250,
NY,18,0.0337,0.978793972,0.0196,
NY,19,0.0200,0.99044849,0.0117,
NY,20,0.0102,0.996395986,0.0059,
NY,21,0.0031,0.998204201,0.0018,
NY,22,0.0019,0.999303979,0.0011,
NY,23,0.0010,0.999900839,0.0006,
NY,24,0.0000,0.999910853,0.0000,
NY,25,0.0000,0.999913986,0.0000,
NY,26,0.0001,1,0.0001,
NY,34,0.0000,1,0.0000,
RI,2,0.0001,0.0001,0.0001,
RI,3,0.0011,0.001347547,0.0012,
RI,4,0.0067,0.008698195,0.0074,
RI,5,0.0143,0.02449385,0.0158,
RI,6,0.0197,0.046261965,0.0218,
RI,7,0.0228,0.071433637,0.0252,
RI,8,0.0420,0.117873858,0.0464,
RI,9,0.0374,0.159165252,0.0413,
RI,10,0.0856,0.253765824,0.0946,
RI,11,0.0964,0.360313769,0.1065,
RI,12,0.1565,0.533257843,0.1729,
RI,13,0.1462,0.694898422,0.1616,
RI,14,0.1358,0.845,0.1501,
RI,15,0.0701,0.891112611,0.0461,
RI,16,0.0524,0.925581697,0.0345,
RI,17,0.0429,0.953839931,0.0283,
RI,18,0.0337,0.976007779,0.0222,
RI,19,0.0200,0.989193547,0.0132,
RI,20,0.0102,0.995922466,0.0067,
RI,21,0.0031,0.997968256,0.0020,
RI,22,0.0019,0.999212531,0.0012,
RI,23,0.0010,0.999887811,0.0007,
RI,24,0.0000,0.99989914,0.0000,
RI,25,0.0000,0.999902685,0.0000,
RI,26,0.0001,1,0.0001,
RI,34,0.0000,1,0.0000,
VA,4,0.0125,0.0125,0.0125,
VA,5,0.0703,0.078721354,0.0662,
VA,6,0.1009,0.173712239,0.0950,
VA,7,0.0781,0.247245842,0.0735,
VA,8,0.0757,0.31849909,0.0713,
VA,9,0.1237,0.43497172,0.1165,
VA,10,0.1689,0.593910305,0.1589,
VA,11,0.1807,0.763974616,0.1701,
VA,12,0.0869,0.845,0.0810,
VA,13,0.0324,0.89405227,0.0491,
VA,14,0.0239,0.930272481,0.0362,
VA,15,0.0225,0.964407633,0.0341,
VA,16,0.0059,0.973352118,0.0089,
VA,17,0.0076,0.984866013,0.0115,
VA,18,0.0012,0.986614606,0.0017,
VA,19,0.0008,0.98784874,0.0012,
VA,20,0.0072,0.998802718,0.0110,
VA,21,0.0006,0.999750483,0.0009,
VA,22,0.0000,0.999752471,0.0000,
VA,23,0.0000,0.999754618,0.0000,
VA,24,0.0002,1,0.0002,
VA,25,0.0000,1,0.0000,
VA,26,0.0000,1,0.0000,
VA,34,0.0000,1,0.0000,
