state,length,prob_catch,cdf_star,prob_star,
CT,6,0.0001752,0.0002,0.00018,
CT,7,0.0019276,0.001962086,0.00179,
CT,8,0.0024533,0.004236258,0.00227,
CT,9,0.0033295,0.007322635,0.00309,
CT,10,0.0077104,0.014470033,0.00715,
CT,11,0.0257724,0.038360579,0.02389,
CT,12,0.0619211,0.095760243,0.05740,
CT,13,0.1169134,0.204136724,0.10838,
CT,14,0.1590287,0.351553349,0.14742,
CT,15,0.1705775,0.509675496,0.15812,
CT,16,0.1490554,0.64784703,0.13817,
CT,17,0.1267188,0.765313011,0.11747,
CT,18,0.0697962,0.83,0.06469,
CT,19,0.0366284,0.889518296,0.05952,
CT,20,0.0222270,0.925635505,0.03612,
CT,21,0.0146338,0.94941433,0.02378,
CT,22,0.0119372,0.968811366,0.01940,
CT,23,0.0061902,0.97886996,0.01006,
CT,24,0.0039197,0.985239122,0.00637,
CT,25,0.0040932,0.991890289,0.00665,
CT,26,0.0020540,0.995227881,0.00334,
CT,27,0.0011981,0.997174737,0.00195,
CT,28,0.0004872,0.997966371,0.00079,
CT,29,0.0008947,0.999420175,0.00145,
CT,30,0.0003556,0.99999806,0.00058,
CT,32,0.0000012,1,0.00000,
DE,4,0.0028048,0.0028,0.00280,
DE,5,0.0070121,0.009169809,0.00636,
DE,6,0.0210362,0.028264741,0.01909,
DE,7,0.0353214,0.060326534,0.03206,
DE,8,0.0395004,0.096181682,0.03586,
DE,9,0.0523176,0.143671251,0.04749,
DE,10,0.1319308,0.263426947,0.11976,
DE,11,0.2229865,0.465835459,0.20241,
DE,12,0.1079902,0.563859929,0.09802,
DE,13,0.0759138,0.632768111,0.06891,
DE,14,0.0770960,0.702749387,0.06998,
DE,15,0.0664502,0.763067332,0.06032,
DE,16,0.0409726,0.8,0.03693,
DE,17,0.0352624,0.859430707,0.05943,
DE,18,0.0341539,0.916993096,0.05756,
DE,19,0.0219007,0.953904172,0.03691,
DE,20,0.0148146,0.978872423,0.02497,
DE,21,0.0048843,0.987104305,0.00823,
DE,22,0.0051859,0.995844523,0.00874,
DE,23,0.0007867,0.997170378,0.00133,
DE,24,0.0007455,0.998426901,0.00126,
DE,25,0.0004743,0.999226264,0.00080,
DE,26,0.0001260,0.999438584,0.00021,
DE,27,0.0000000,0.999438584,0.00000,
DE,28,0.0000022,0.999442265,0.00000,
DE,29,0.0000000,0.999442265,0.00000,
DE,30,0.0003309,1,0.00056,
DE,32,0.0000000,1,0.00000,
MA,6,0.0001752,0.0002,0.00018,
MA,7,0.0019276,0.002216297,0.00204,
MA,8,0.0024533,0.00481401,0.00260,
MA,9,0.0033295,0.008339477,0.00353,
MA,10,0.0077104,0.016503718,0.00816,
MA,11,0.0257724,0.043793113,0.02729,
MA,12,0.0619211,0.109358884,0.06557,
MA,13,0.1169134,0.233153818,0.12379,
MA,14,0.1590287,0.401543039,0.16839,
MA,15,0.1705775,0.582160831,0.18062,
MA,16,0.1490554,0.74,0.15784,
MA,17,0.1267188,0.849408903,0.10941,
MA,18,0.0697962,0.909670882,0.06026,
MA,19,0.0366284,0.941295795,0.03162,
MA,20,0.0222270,0.960486593,0.01919,
MA,21,0.0146338,0.973121418,0.01263,
MA,22,0.0119372,0.983427989,0.01031,
MA,23,0.0061902,0.988772601,0.00534,
MA,24,0.0039197,0.99215684,0.00338,
MA,25,0.0040932,0.995690923,0.00353,
MA,26,0.0020540,0.997464345,0.00177,
MA,27,0.0011981,0.998498803,0.00103,
MA,28,0.0004872,0.998919436,0.00042,
MA,29,0.0008947,0.999691911,0.00077,
MA,30,0.0003556,0.999998969,0.00031,
MA,32,0.0000012,1,0.00000,
MD,4,0.0028048,0.0028,0.00280,
MD,5,0.0070121,0.009806306,0.00700,
MD,6,0.0210362,0.030810732,0.02100,
MD,7,0.0353214,0.066078705,0.03527,
MD,8,0.0395004,0.105519367,0.03944,
MD,9,0.0523176,0.157757893,0.05224,
MD,10,0.1319308,0.289489159,0.13173,
MD,11,0.2229865,0.512138522,0.22265,
MD,12,0.1079902,0.619965439,0.10783,
MD,13,0.0759138,0.695764439,0.07580,
MD,14,0.0770960,0.772743843,0.07698,
MD,15,0.0664502,0.839093582,0.06635,
MD,16,0.0409726,0.88,0.04091,
MD,17,0.0352624,0.915658424,0.03566,
MD,18,0.0341539,0.950195858,0.03454,
MD,19,0.0219007,0.972342503,0.02215,
MD,20,0.0148146,0.987323454,0.01498,
MD,21,0.0048843,0.992262583,0.00494,
MD,22,0.0051859,0.997506714,0.00524,
MD,23,0.0007867,0.998302227,0.00080,
MD,24,0.0007455,0.999056141,0.00075,
MD,25,0.0004743,0.999535758,0.00048,
MD,26,0.0001260,0.99966315,0.00013,
MD,27,0.0000000,0.99966315,0.00000,
MD,28,0.0000022,0.999665359,0.00000,
MD,29,0.0000000,0.999665359,0.00000,
MD,30,0.0003309,1,0.00033,
MD,32,0.0000000,1,0.00000,
NC,4,0.0028048,0.0028,0.00280,
NC,5,0.0070121,0.009816909,0.00701,
NC,6,0.0210362,0.030853143,0.02104,
NC,7,0.0353214,0.066174524,0.03532,
NC,8,0.0395004,0.105674913,0.03950,
NC,9,0.0523176,0.157992547,0.05232,
NC,10,0.1319308,0.289923301,0.13193,
NC,11,0.2229865,0.512909835,0.22299,
NC,12,0.1079902,0.62090004,0.10799,
NC,13,0.0759138,0.696813827,0.07591,
NC,14,0.0770960,0.7739,0.07710,
NC,15,0.0664502,0.840360013,0.06645,
NC,16,0.0409726,0.88133262,0.04097,
NC,17,0.0352624,0.916595052,0.03526,
NC,18,0.0341539,0.950748941,0.03415,
NC,19,0.0219007,0.972649644,0.02190,
NC,20,0.0148146,0.987464229,0.01481,
NC,21,0.0048843,0.992348508,0.00488,
NC,22,0.0051859,0.997534402,0.00519,
NC,23,0.0007867,0.998321081,0.00079,
NC,24,0.0007455,0.999066623,0.00075,
NC,25,0.0004743,0.999540914,0.00047,
NC,26,0.0001260,0.999666891,0.00013,
NC,27,0.0000000,0.999666891,0.00000,
NC,28,0.0000022,0.999669075,0.00000,
NC,29,0.0000000,0.999669075,0.00000,
NC,30,0.0003309,1,0.00033,
NC,32,0.0000000,1,0.00000,
NJ,5,0.0003279,0.0003,0.00033,
NJ,7,0.0003279,0.000647306,0.00032,
NJ,8,0.0019673,0.002563853,0.00192,
NJ,9,0.0050822,0.007514933,0.00495,
NJ,10,0.0288536,0.035624289,0.02811,
NJ,11,0.0642047,0.098172939,0.06255,
NJ,12,0.1090388,0.204399351,0.10623,
NJ,13,0.1282016,0.32929433,0.12489,
NJ,14,0.1428062,0.468417158,0.13912,
NJ,15,0.1427483,0.607483588,0.13907,
NJ,16,0.1383303,0.742246013,0.13476,
NJ,17,0.1208803,0.86,0.11775,
NJ,18,0.0546136,0.925220823,0.06522,
NJ,19,0.0277529,0.958363908,0.03314,
NJ,20,0.0142250,0.975351726,0.01699,
NJ,21,0.0078770,0.984758574,0.00941,
NJ,22,0.0048928,0.990601653,0.00584,
NJ,23,0.0028472,0.994001827,0.00340,
NJ,24,0.0029171,0.997485435,0.00348,
NJ,25,0.0009527,0.998623114,0.00114,
