dtrip,state,period,fluke_bag,fluke_min,fluke_max,bsb_bag,bsb_min,scup_bag,scup_min
2024,CT,7,4,19,100,0,100,30,9
18523,CT,9,4,19,100,0,100,30,9
61494,CT,10,4,19,100,5,15,30,9
155265,CT,11,4,19,100,5,15,30,9
238367,CT,12,4,19,100,5,15,30,9
63838,CT,13,4,19,100,5,15,30,9
169120,CT,14,4,19,100,5,15,30,9
206140,CT,15,4,19,100,5,15,30,9
97789,CT,16,4,19,100,5,15,30,9
197753,CT,17,4,19,100,5,15,30,9
112253,CT,18,4,19,100,5,15,30,9
156450,CT,19,0,100,100,5,15,30,9
99099,CT,20,0,100,100,5,15,30,9
74158,CT,21,0,100,100,5,15,30,9
5227,CT,22,0,100,100,5,15,30,9
5951,DE,8,4,17,100,0,100,50,8
9947,DE,9,4,17,100,0,100,50,8
60896,DE,10,4,17,100,15,13,50,8
38034,DE,11,4,17,100,15,13,50,8
111847,DE,12,4,17,100,15,13,50,8
66953,DE,13,4,17,100,15,13,50,8
87332,DE,14,4,17,100,15,13,50,8
66111,DE,15,4,17,100,15,13,50,8
48244,DE,16,4,17,100,15,13,50,8
52389,DE,17,4,17,100,15,13,50,8
39256,DE,18,4,17,100,15,13,50,8
23461,DE,19,4,17,100,15,13,50,8
10092,DE,20,4,17,100,15,13,50,8
8745,DE,21,4,17,100,15,13,50,8
10107,DE,22,4,17,100,15,13,50,8
6199,DE,23,4,17,100,15,13,50,8
51893,MA,8,0,100,100,0,100,30,9
24443,MA,9,0,100,100,0,100,30,9
76598,MA,10,5,17,100,5,15,30,9
240461,MA,11,5,17,100,5,15,30,9
88280,MA,12,5,17,100,5,15,30,9
47023,MA,13,5,17,100,5,15,30,9
264641,MA,14,5,17,100,5,15,30,9
71448,MA,15,5,17,100,5,15,30,9
28004,MA,16,5,17,100,5,15,30,9
57877,MA,17,5,17,100,5,15,30,9
78646,MA,18,5,17,100,0,100,30,9
34684,MA,19,5,17,100,0,100,30,9
42869,MA,20,0,100,100,0,100,30,9
41814,MA,21,0,100,100,0,100,30,9
31077,MA,22,0,100,100,0,100,30,9
6607,MD,6,4,17,100,0,100,50,8
9385,MD,7,4,17,100,0,100,50,8
68687,MD,8,4,17,100,0,100,50,8
2024,MD,9,4,17,100,0,100,50,8
24734,MD,10,4,17,100,15,13,50,8
18475,MD,11,4,17,100,15,13,50,8
58536,MD,12,4,17,100,15,13,50,8
102960,MD,13,4,17,100,15,13,50,8
85834,MD,14,4,17,100,15,13,50,8
89900,MD,15,4,17,100,15,13,50,8
42604,MD,16,4,17,100,15,13,50,8
66365,MD,17,4,17,100,15,13,50,8
63796,MD,18,4,17,100,15,13,50,8
214313,MD,19,4,17,100,15,13,50,8
7006,MD,20,4,17,100,15,13,50,8
1719,MD,21,4,17,100,15,13,50,8
15019,MD,22,4,17,100,15,13,50,8
1383,MD,24,4,17,100,15,13,50,8
1858,NC,1,0,100,100,0,100,50,8
6268,NC,2,0,100,100,0,100,50,8
764,NC,3,0,100,100,15,13,50,8
6972,NC,4,0,100,100,15,13,50,8
15930,NC,5,0,100,100,0,100,50,8
5753,NC,6,0,100,100,0,100,50,8
38561,NC,7,0,100,100,0,100,50,8
20709,NC,8,0,100,100,0,100,50,8
10927,NC,9,0,100,100,0,100,50,8
58072,NC,10,0,100,100,0,100,50,8
22312,NC,11,0,100,100,0,100,50,8
25591,NC,12,0,100,100,15,13,50,8
52069,NC,13,0,100,100,15,13,50,8
63820,NC,14,0,100,100,15,13,50,8
55341,NC,15,0,100,100,15,13,50,8
63094,NC,16,0,100,100,15,13,50,8
59774,NC,17,4,15,100,15,13,50,8
33175,NC,18,0,100,100,15,13,50,8
34695,NC,19,0,100,100,15,13,50,8
29845,NC,20,0,100,100,15,13,50,8
30868,NC,21,0,100,100,15,13,50,8
8499,NC,22,0,100,100,15,13,50,8
10006,NC,23,0,100,100,0,100,50,8
4533,NC,24,0,100,100,0,100,50,8
1879,NJ,5,0,100,100,0,100,50,9
19682,NJ,8,0,100,100,0,100,50,9
21219,NJ,9,0,100,100,0,100,50,9
279228,NJ,10,3,18,100,10,13,50,9
299792,NJ,11,3,18,100,10,13,50,9
665262,NJ,12,3,18,100,10,13,50,9
572385,NJ,13,3,18,100,2,13,50,9
833641,NJ,14,3,18,100,2,13,50,9
679393,NJ,15,3,18,100,2,13,50,9
389253,NJ,16,3,18,100,2,13,50,9
542235,NJ,17,3,18,100,0,100,50,9
216447,NJ,18,0,100,100,0,100,50,9
176526,NJ,19,0,100,100,10,13,50,9
94798,NJ,20,0,100,100,10,13,50,9
168935,NJ,21,0,100,100,15,13,50,9
17369,NJ,22,0,100,100,15,13,50,9
2631,NJ,23,0,100,100,15,13,50,9
5644,NJ,24,0,100,100,15,13,50,9
165879,NY,8,0,100,100,0,100,30,9
121112,NY,9,4,19,100,0,100,30,9
325761,NY,10,4,19,100,0,100,30,9
328834,NY,11,4,19,100,0,100,30,9
392265,NY,12,4,19,100,3,15,30,9
281796,NY,13,4,19,100,3,15,30,9
310511,NY,14,4,19,100,3,15,30,9
570649,NY,15,4,19,100,3,15,30,9
638666,NY,16,4,19,100,3,15,30,9
412478,NY,17,4,19,100,7,15,30,9
619090,NY,18,4,19,100,7,15,30,9
199388,NY,19,0,100,100,7,15,30,9
113273,NY,20,0,100,100,7,15,30,9
175786,NY,21,0,100,100,7,15,30,9
86887,NY,22,0,100,100,7,15,30,9
6204,NY,23,0,100,100,7,15,30,9
2506,NY,24,0,100,100,7,15,30,9
4915,RI,7,0,100,100,0,100,30,9
7010,RI,8,0,100,100,0,100,30,9
16219,RI,9,6,19,100,0,100,30,9
37314,RI,10,6,19,100,0,100,30,9
90794,RI,11,6,19,100,0,100,30,9
108045,RI,12,6,19,100,3,15,30,9
116726,RI,13,6,19,100,3,15,30,9
193190,RI,14,6,19,100,3,15,30,9
167766,RI,15,6,19,100,3,15,30,9
117051,RI,16,6,19,100,3,15,30,9
146865,RI,17,6,19,100,7,15,30,9
171179,RI,18,6,19,100,7,15,30,9
104634,RI,19,6,19,100,7,15,30,9
52081,RI,20,6,19,100,7,15,30,9
38181,RI,21,6,19,100,7,15,30,9
10098,VA,7,4,17,100,0,100,30,8
6148,VA,8,4,17,100,0,100,30,8
15021,VA,9,4,17,100,0,100,30,8
54874,VA,10,4,17,100,15,13,30,8
84458,VA,11,4,17,100,0,100,30,8
50093,VA,12,4,17,100,15,13,30,8
131016,VA,13,4,17,100,15,13,30,8
238431,VA,14,4,17,100,15,13,30,8
167396,VA,15,4,17,100,15,13,30,8
93372,VA,16,4,17,100,15,13,30,8
73290,VA,17,4,17,100,15,13,30,8
128690,VA,18,4,17,100,15,13,30,8
248822,VA,19,4,17,100,15,13,30,8
98283,VA,20,4,17,100,15,13,30,8
127199,VA,21,4,17,100,15,13,30,8
881,VA,23,4,17,100,15,13,30,8
4648,VA,24,4,17,100,15,13,30,8
