dtrip,state,period,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
2024,CT,7,0,100,100,0,100,100,0,100,30,10
18523,CT,9,0,100,100,0,100,100,0,100,30,10
61494,CT,10,3,17,100,0,100,100,5,16,30,10
155265,CT,11,3,17,100,0,100,100,5,16,30,10
238367,CT,12,3,17,100,0,100,100,5,16,30,10
63838,CT,13,3,17,100,0,100,100,5,16,30,10
169120,CT,14,3,17,100,0,100,100,5,16,30,10
206140,CT,15,3,17,100,0,100,100,5,16,30,10
97789,CT,16,3,17,100,0,100,100,5,16,30,10
197753,CT,17,3,17,100,0,100,100,5,16,30,10
112253,CT,18,0,100,100,0,100,100,5,16,30,10
156450,CT,19,0,100,100,0,100,100,5,16,30,10
99099,CT,20,0,100,100,0,100,100,5,16,30,10
74158,CT,21,0,100,100,0,100,100,5,16,30,10
5227,CT,22,0,100,100,0,100,100,5,16,30,10
5951,DE,8,0,100,100,0,100,100,0,100,50,9
9947,DE,9,0,100,100,0,100,100,0,100,50,9
60896,DE,10,3,17,100,0,100,100,15,13,50,9
38034,DE,11,3,17,100,0,100,100,15,13,50,9
111847,DE,12,3,17,100,0,100,100,15,13,50,9
66953,DE,13,3,17,100,0,100,100,15,13,50,9
87332,DE,14,3,17,100,0,100,100,15,13,50,9
66111,DE,15,3,17,100,0,100,100,15,13,50,9
48244,DE,16,3,17,100,0,100,100,15,13,50,9
52389,DE,17,3,17,100,0,100,100,15,13,50,9
39256,DE,18,0,100,100,0,100,100,15,13,50,9
23461,DE,19,0,100,100,0,100,100,15,13,50,9
10092,DE,20,0,100,100,0,100,100,15,13,50,9
8745,DE,21,0,100,100,0,100,100,15,13,50,9
10107,DE,22,0,100,100,0,100,100,15,13,50,9
6199,DE,23,0,100,100,0,100,100,15,13,50,9
51893,MA,8,0,100,100,0,100,100,0,100,30,10
24443,MA,9,0,100,100,0,100,100,0,100,30,10
76598,MA,10,3,17,100,0,100,100,4,16,30,10
240461,MA,11,3,17,100,0,100,100,4,16,30,10
88280,MA,12,3,17,100,0,100,100,4,16,30,10
47023,MA,13,3,17,100,0,100,100,4,16,30,10
264641,MA,14,3,17,100,0,100,100,4,16,30,10
71448,MA,15,3,17,100,0,100,100,4,16,30,10
28004,MA,16,3,17,100,0,100,100,4,16,30,10
57877,MA,17,3,17,100,0,100,100,0,100,30,10
78646,MA,18,0,100,100,0,100,100,0,100,30,10
34684,MA,19,0,100,100,0,100,100,0,100,30,10
42869,MA,20,0,100,100,0,100,100,0,100,30,10
41814,MA,21,0,100,100,0,100,100,0,100,30,10
31077,MA,22,0,100,100,0,100,100,0,100,30,10
6607,MD,6,0,100,100,0,100,100,0,100,50,9
9385,MD,7,0,100,100,0,100,100,0,100,50,9
68687,MD,8,0,100,100,0,100,100,0,100,50,9
2024,MD,9,0,100,100,0,100,100,0,100,50,9
24734,MD,10,3,17,100,0,100,100,15,13,50,9
18475,MD,11,3,17,100,0,100,100,15,13,50,9
58536,MD,12,3,17,100,0,100,100,15,13,50,9
102960,MD,13,3,17,100,0,100,100,15,13,50,9
85834,MD,14,3,17,100,0,100,100,15,13,50,9
89900,MD,15,3,17,100,0,100,100,15,13,50,9
42604,MD,16,3,17,100,0,100,100,15,13,50,9
66365,MD,17,3,17,100,0,100,100,15,13,50,9
63796,MD,18,0,100,100,0,100,100,15,13,50,9
214313,MD,19,0,100,100,0,100,100,15,13,50,9
7006,MD,20,0,100,100,0,100,100,15,13,50,9
1719,MD,21,0,100,100,0,100,100,15,13,50,9
15019,MD,22,0,100,100,0,100,100,15,13,50,9
1383,MD,24,0,100,100,0,100,100,0,100,50,9
1858,NC,1,0,100,100,0,100,100,0,100,50,9
6268,NC,2,0,100,100,0,100,100,0,100,50,9
764,NC,3,0,100,100,0,100,100,0,100,50,9
6972,NC,4,0,100,100,0,100,100,0,100,50,9
15930,NC,5,0,100,100,0,100,100,0,100,50,9
5753,NC,6,0,100,100,0,100,100,0,100,50,9
38561,NC,7,0,100,100,0,100,100,0,100,50,9
20709,NC,8,0,100,100,0,100,100,0,100,50,9
10927,NC,9,0,100,100,0,100,100,15,13,50,9
58072,NC,10,3,17,100,0,100,100,15,13,50,9
22312,NC,11,3,17,100,0,100,100,15,13,50,9
25591,NC,12,3,17,100,0,100,100,15,13,50,9
52069,NC,13,3,17,100,0,100,100,15,13,50,9
63820,NC,14,3,17,100,0,100,100,15,13,50,9
55341,NC,15,3,17,100,0,100,100,15,13,50,9
63094,NC,16,3,17,100,0,100,100,15,13,50,9
59774,NC,17,3,17,100,0,100,100,15,13,50,9
33175,NC,18,0,100,100,0,100,100,15,13,50,9
34695,NC,19,0,100,100,0,100,100,15,13,50,9
29845,NC,20,0,100,100,0,100,100,15,13,50,9
30868,NC,21,0,100,100,0,100,100,15,13,50,9
8499,NC,22,0,100,100,0,100,100,15,13,50,9
10006,NC,23,0,100,100,0,100,100,15,13,50,9
4533,NC,24,0,100,100,0,100,100,0,100,50,9
1879,NJ,5,0,100,100,0,100,100,0,100,50,10
19682,NJ,8,0,100,100,0,100,100,0,100,50,10
