dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
2024,CT,7,0,100,100,0,100,100,0,100,100,0,100,30,12
18523,CT,9,4,19,100,4,19,100,0,100,100,0,100,30,12
61494,CT,10,4,19,100,4,19,100,0,100,100,5,18,30,12
155265,CT,11,4,19,100,4,19,100,0,100,100,5,18,30,12
238367,CT,12,4,19,100,4,19,100,0,100,100,5,18,30,12
63838,CT,13,4,19,100,4,19,100,0,100,100,5,18,30,12
169120,CT,14,4,19,100,4,19,100,0,100,100,5,18,30,12
206140,CT,15,4,19,100,4,19,100,0,100,100,5,18,30,12
97789,CT,16,4,19,100,4,19,100,0,100,100,5,18,30,12
197753,CT,17,4,19,100,4,19,100,0,100,100,5,18,30,12
112253,CT,18,4,19,100,4,19,100,0,100,100,5,18,30,12
156450,CT,19,4,19,100,4,19,100,0,100,100,5,18,30,12
99099,CT,20,0,100,100,0,100,100,0,100,100,5,18,30,12
74158,CT,21,0,100,100,0,100,100,0,100,100,5,18,30,12
5227,CT,22,0,100,100,0,100,100,0,100,100,5,18,30,12
5951,DE,8,4,16,100,4,16,100,0,100,100,0,100,50,11
9947,DE,9,4,16,100,4,16,100,0,100,100,0,100,50,11
60896,DE,10,4,16,100,4,16,100,0,100,100,15,15,50,11
38034,DE,11,4,16,100,4,16,100,0,100,100,15,15,50,11
111847,DE,12,4,16,100,4,16,100,0,100,100,15,15,50,11
66953,DE,13,4,16,100,4,16,100,0,100,100,15,15,50,11
87332,DE,14,4,16,100,4,16,100,0,100,100,15,15,50,11
66111,DE,15,4,16,100,4,16,100,0,100,100,15,15,50,11
48244,DE,16,4,16,100,4,16,100,0,100,100,15,15,50,11
52389,DE,17,4,16,100,4,16,100,0,100,100,15,15,50,11
39256,DE,18,4,16,100,4,16,100,0,100,100,15,15,50,11
23461,DE,19,4,16,100,4,16,100,0,100,100,15,15,50,11
10092,DE,20,4,16,100,4,16,100,0,100,100,15,15,50,11
8745,DE,21,4,16,100,4,16,100,0,100,100,15,15,50,11
10107,DE,22,4,16,100,4,16,100,0,100,100,15,15,50,11
6199,DE,23,4,16,100,4,16,100,0,100,100,15,15,50,11
51893,MA,8,0,100,100,0,100,100,0,100,100,0,100,30,12
24443,MA,9,0,100,100,0,100,100,0,100,100,0,100,30,12
76598,MA,10,5,17,100,5,17,100,0,100,100,4,18,30,12
240461,MA,11,5,17,100,5,17,100,0,100,100,4,18,30,12
88280,MA,12,5,17,100,5,17,100,0,100,100,4,18,30,12
47023,MA,13,5,17,100,5,17,100,0,100,100,4,18,30,12
264641,MA,14,5,17,100,5,17,100,0,100,100,4,18,30,12
71448,MA,15,5,17,100,5,17,100,0,100,100,4,18,30,12
28004,MA,16,5,17,100,5,17,100,0,100,100,4,18,30,12
57877,MA,17,5,17,100,5,17,100,0,100,100,0,100,30,12
78646,MA,18,5,17,100,5,17,100,0,100,100,0,100,30,12
34684,MA,19,0,100,100,0,100,100,0,100,100,0,100,30,12
42869,MA,20,0,100,100,0,100,100,0,100,100,0,100,30,12
41814,MA,21,0,100,100,0,100,100,0,100,100,0,100,30,12
31077,MA,22,0,100,100,0,100,100,0,100,100,0,100,30,12
6607,MD,6,4,16,100,4,16,100,0,100,100,0,100,50,11
9385,MD,7,4,16,100,4,16,100,0,100,100,0,100,50,11
68687,MD,8,4,16,100,4,16,100,0,100,100,0,100,50,11
2024,MD,9,4,16,100,4,16,100,0,100,100,0,100,50,11
24734,MD,10,4,16,100,4,16,100,0,100,100,15,15,50,11
18475,MD,11,4,16,100,4,16,100,0,100,100,15,15,50,11
58536,MD,12,4,16,100,4,16,100,0,100,100,15,15,50,11
102960,MD,13,4,16,100,4,16,100,0,100,100,15,15,50,11
85834,MD,14,4,16,100,4,16,100,0,100,100,15,15,50,11
89900,MD,15,4,16,100,4,16,100,0,100,100,15,15,50,11
42604,MD,16,4,16,100,4,16,100,0,100,100,15,15,50,11
66365,MD,17,4,16,100,4,16,100,0,100,100,15,15,50,11
63796,MD,18,4,16,100,4,16,100,0,100,100,15,15,50,11
214313,MD,19,4,16,100,4,16,100,0,100,100,15,15,50,11
7006,MD,20,4,16,100,4,16,100,0,100,100,15,15,50,11
1719,MD,21,4,16,100,4,16,100,0,100,100,15,15,50,11
15019,MD,22,4,16,100,4,16,100,0,100,100,15,15,50,11
1383,MD,24,4,16,100,4,16,100,0,100,100,0,100,50,11
1858,NC,1,0,100,100,0,100,100,0,100,100,0,100,50,11
6268,NC,2,0,100,100,0,100,100,0,100,100,0,100,50,11
764,NC,3,0,100,100,0,100,100,0,100,100,0,100,50,11
6972,NC,4,0,100,100,0,100,100,0,100,100,0,100,50,11
15930,NC,5,0,100,100,0,100,100,0,100,100,0,100,50,11
5753,NC,6,0,100,100,0,100,100,0,100,100,0,100,50,11
38561,NC,7,0,100,100,0,100,100,0,100,100,0,100,50,11
20709,NC,8,0,100,100,0,100,100,0,100,100,0,100,50,11
10927,NC,9,0,100,100,0,100,100,0,100,100,15,15,50,11
58072,NC,10,0,100,100,0,100,100,0,100,100,15,15,50,11
22312,NC,11,0,100,100,0,100,100,0,100,100,15,15,50,11
25591,NC,12,0,100,100,0,100,100,0,100,100,15,15,50,11
52069,NC,13,0,100,100,0,100,100,0,100,100,15,15,50,11
63820,NC,14,0,100,100,0,100,100,0,100,100,15,15,50,11
55341,NC,15,0,100,100,0,100,100,0,100,100,15,15,50,11
63094,NC,16,4,15,100,4,15,100,0,100,100,15,15,50,11
59774,NC,17,4,15,100,4,15,100,0,100,100,15,15,50,11
33175,NC,18,4,15,100,4,15,100,0,100,100,15,15,50,11
34695,NC,19,0,100,100,0,100,100,0,100,100,15,15,50,11
29845,NC,20,0,100,100,0,100,100,0,100,100,15,15,50,11
30868,NC,21,0,100,100,0,100,100,0,100,100,15,15,50,11
8499,NC,22,0,100,100,0,100,100,0,100,100,15,15,50,11
10006,NC,23,0,100,100,0,100,100,0,100,100,15,15,50,11
4533,NC,24,0,100,100,0,100,100,0,100,100,0,100,50,11
1879,NJ,5,0,100,100,0,100,100,0,100,100,0,100,50,12
19682,NJ,8,0,100,100,0,100,100,0,100,100,0,100,50,12
21219,NJ,9,0,100,100,2,17,18,1,18,100,0,100,50,12
279228,NJ,10,0,100,100,2,17,18,1,18,100,10,15,50,12
299792,NJ,11,0,100,100,2,17,18,1,18,100,10,15,50,12
665262,NJ,12,0,100,100,2,17,18,1,18,100,0,100,50,12
572385,NJ,13,0,100,100,2,17,18,1,18,100,2,15,50,12
833641,NJ,14,0,100,100,2,17,18,1,18,100,2,15,50,12
679393,NJ,15,0,100,100,2,17,18,1,18,100,2,15,50,12
389253,NJ,16,0,100,100,2,17,18,1,18,100,2,15,50,12
542235,NJ,17,0,100,100,2,17,18,1,18,100,0,100,50,12
216447,NJ,18,0,100,100,2,17,18,1,18,100,0,100,50,12
176526,NJ,19,0,100,100,0,100,100,0,100,100,10,15,50,12
94798,NJ,20,0,100,100,0,100,100,0,100,100,10,15,50,12
168935,NJ,21,0,100,100,0,100,100,0,100,100,15,15,50,12
17369,NJ,22,0,100,100,0,100,100,0,100,100,15,15,50,12
2631,NJ,23,0,100,100,0,100,100,0,100,100,15,15,50,12
5644,NJ,24,0,100,100,0,100,100,0,100,100,15,15,50,12
165879,NY,8,0,100,100,0,100,100,0,100,100,0,100,30,12
121112,NY,9,4,19,100,4,19,100,0,100,100,0,100,30,12
325761,NY,10,4,19,100,4,19,100,0,100,100,0,100,30,12
