dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
2024,CT,7,0,100,100,0,100,100,0,100,100,0,100,30,10
18523,CT,9,4,19,100,4,19,100,0,100,100,0,100,30,10
61494,CT,10,4,19,100,4,19,100,0,100,100,5,16,30,10
155265,CT,11,4,19,100,4,19,100,0,100,100,5,16,30,10
238367,CT,12,4,19,100,4,19,100,0,100,100,5,16,30,10
63838,CT,13,4,19,100,4,19,100,0,100,100,5,16,30,10
169120,CT,14,4,19,100,4,19,100,0,100,100,5,16,30,10
206140,CT,15,4,19,100,4,19,100,0,100,100,5,16,30,10
97789,CT,16,4,19,100,4,19,100,0,100,100,5,16,30,10
197753,CT,17,4,19,100,4,19,100,0,100,100,5,16,30,10
112253,CT,18,4,19,100,4,19,100,0,100,100,5,16,30,10
156450,CT,19,4,19,100,4,19,100,0,100,100,5,16,30,10
99099,CT,20,0,100,100,0,100,100,0,100,100,5,16,30,10
74158,CT,21,0,100,100,0,100,100,0,100,100,5,16,30,10
5227,CT,22,0,100,100,0,100,100,0,100,100,5,16,30,10
