dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
5951,DE,8,4,16,100,4,16,100,0,100,100,0,100,50,9
9947,DE,9,4,16,100,4,16,100,0,100,100,0,100,50,9
60896,DE,10,4,16,100,4,16,100,0,100,100,13,13,50,9
38034,DE,11,4,16,100,4,16,100,0,100,100,13,13,50,9
111847,DE,12,4,16,100,4,16,100,0,100,100,13,13,50,9
66953,DE,13,4,16,100,4,16,100,0,100,100,13,13,50,9
87332,DE,14,4,16,100,4,16,100,0,100,100,13,13,50,9
66111,DE,15,4,16,100,4,16,100,0,100,100,13,13,50,9
48244,DE,16,4,16,100,4,16,100,0,100,100,13,13,50,9
52389,DE,17,4,16,100,4,16,100,0,100,100,13,13,50,9
39256,DE,18,4,16,100,4,16,100,0,100,100,13,13,50,9
23461,DE,19,4,16,100,4,16,100,0,100,100,13,13,50,9
10092,DE,20,4,16,100,4,16,100,0,100,100,13,13,50,9
8745,DE,21,4,16,100,4,16,100,0,100,100,0,100,50,9
10107,DE,22,4,16,100,4,16,100,0,100,100,0,100,50,9
6199,DE,23,4,16,100,4,16,100,0,100,100,0,100,50,9
