dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
6607,MD,6,4,16,100,4,16,100,0,100,100,0,100,50,9
9385,MD,7,4,16,100,4,16,100,0,100,100,0,100,50,9
68687,MD,8,4,16,100,4,16,100,0,100,100,0,100,50,9
2024,MD,9,4,16,100,4,16,100,0,100,100,0,100,50,9
24734,MD,10,4,16,100,4,16,100,0,100,100,9,13,50,9
18475,MD,11,4,16,100,4,16,100,0,100,100,9,13,50,9
58536,MD,12,4,16,100,4,16,100,0,100,100,9,13,50,9
102960,MD,13,4,16,100,4,16,100,0,100,100,9,13,50,9
85834,MD,14,4,16,100,4,16,100,0,100,100,9,13,50,9
89900,MD,15,4,16,100,4,16,100,0,100,100,9,13,50,9
42604,MD,16,4,16,100,4,16,100,0,100,100,9,13,50,9
66365,MD,17,4,16,100,4,16,100,0,100,100,9,13,50,9
63796,MD,18,4,16,100,4,16,100,0,100,100,9,13,50,9
214313,MD,19,4,16,100,4,16,100,0,100,100,9,13,50,9
7006,MD,20,4,16,100,4,16,100,0,100,100,9,13,50,9
1719,MD,21,4,16,100,4,16,100,0,100,100,9,13,50,9
15019,MD,22,4,16,100,4,16,100,0,100,100,0,100,50,9
1383,MD,24,4,16,100,4,16,100,0,100,100,0,100,50,9
