dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
1858,NC,1,0,100,100,0,100,100,0,100,100,0,100,50,9
6268,NC,2,0,100,100,0,100,100,0,100,100,0,100,50,9
764,NC,3,0,100,100,0,100,100,0,100,100,0,100,50,9
6972,NC,4,0,100,100,0,100,100,0,100,100,0,100,50,9
15930,NC,5,0,100,100,0,100,100,0,100,100,0,100,50,9
5753,NC,6,0,100,100,0,100,100,0,100,100,0,100,50,9
38561,NC,7,0,100,100,0,100,100,0,100,100,0,100,50,9
20709,NC,8,0,100,100,0,100,100,0,100,100,0,100,50,9
10927,NC,9,0,100,100,0,100,100,0,100,100,12,13,50,9
58072,NC,10,0,100,100,0,100,100,0,100,100,12,13,50,9
22312,NC,11,0,100,100,0,100,100,0,100,100,12,13,50,9
25591,NC,12,0,100,100,0,100,100,0,100,100,12,13,50,9
52069,NC,13,0,100,100,0,100,100,0,100,100,12,13,50,9
63820,NC,14,0,100,100,0,100,100,0,100,100,12,13,50,9
55341,NC,15,0,100,100,0,100,100,0,100,100,12,13,50,9
63094,NC,16,4,15,100,4,15,100,0,100,100,12,13,50,9
59774,NC,17,4,15,100,4,15,100,0,100,100,12,13,50,9
33175,NC,18,4,15,100,4,15,100,0,100,100,12,13,50,9
34695,NC,19,0,100,100,0,100,100,0,100,100,12,13,50,9
29845,NC,20,0,100,100,0,100,100,0,100,100,12,13,50,9
30868,NC,21,0,100,100,0,100,100,0,100,100,0,100,50,9
8499,NC,22,0,100,100,0,100,100,0,100,100,0,100,50,9
10006,NC,23,0,100,100,0,100,100,0,100,100,0,100,50,9
4533,NC,24,0,100,100,0,100,100,0,100,100,0,100,50,9
