dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
1879,NJ,5,0,100,100,0,100,100,0,100,100,0,100,40,10
19682,NJ,8,0,100,100,0,100,100,0,100,100,0,100,40,10
21219,NJ,9,0,100,100,2,17,18,1,18,100,0,100,40,10
279228,NJ,10,0,100,100,2,17,18,1,18,100,6,12,40,10
299792,NJ,11,0,100,100,2,17,18,1,18,100,6,12,40,10
665262,NJ,12,0,100,100,2,17,18,1,18,100,0,100,40,10
572385,NJ,13,0,100,100,2,17,18,1,18,100,2,12,40,10
833641,NJ,14,0,100,100,2,17,18,1,18,100,2,12,40,10
679393,NJ,15,0,100,100,2,17,18,1,18,100,2,12,40,10
389253,NJ,16,0,100,100,2,17,18,1,18,100,2,12,40,10
542235,NJ,17,0,100,100,2,17,18,1,18,100,0,100,40,10
216447,NJ,18,0,100,100,2,17,18,1,18,100,0,100,40,10
176526,NJ,19,0,100,100,0,100,100,0,100,100,6,12,40,10
94798,NJ,20,0,100,100,0,100,100,0,100,100,6,12,40,10
168935,NJ,21,0,100,100,0,100,100,0,100,100,10,12,40,10
17369,NJ,22,0,100,100,0,100,100,0,100,100,10,12,40,10
2631,NJ,23,0,100,100,0,100,100,0,100,100,10,12,40,10
5644,NJ,24,0,100,100,0,100,100,0,100,100,10,12,40,10
