dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
165879,NY,8,0,100,100,0,100,100,0,100,100,0,100,0,100
121112,NY,9,4,19,100,4,19,100,0,100,100,0,100,0,100
325761,NY,10,4,19,100,4,19,100,0,100,100,0,100,30,10
328834,NY,11,4,19,100,4,19,100,0,100,100,0,100,30,10
392265,NY,12,4,19,100,4,19,100,0,100,100,0,100,30,10
281796,NY,13,4,19,100,4,19,100,0,100,100,3,16,30,10
310511,NY,14,4,19,100,4,19,100,0,100,100,3,16,30,10
570649,NY,15,4,19,100,4,19,100,0,100,100,3,16,30,10
638666,NY,16,4,19,100,4,19,100,0,100,100,3,16,30,10
412478,NY,17,4,19,100,4,19,100,0,100,100,6,16,40,10
619090,NY,18,4,19,100,4,19,100,0,100,100,6,16,40,10
199388,NY,19,4,19,100,4,19,100,0,100,100,6,16,40,10
113273,NY,20,0,100,100,0,100,100,0,100,100,6,16,40,10
175786,NY,21,0,100,100,0,100,100,0,100,100,6,16,30,10
86887,NY,22,0,100,100,0,100,100,0,100,100,6,16,30,10
6204,NY,23,0,100,100,0,100,100,0,100,100,6,16,30,10
2506,NY,24,0,100,100,0,100,100,0,100,100,6,16,30,10
