dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
10098,VA,7,4,16,100,4,16,100,0,100,100,0,100,30,9
6148,VA,8,4,16,100,4,16,100,0,100,100,0,100,30,9
15021,VA,9,4,16,100,4,16,100,0,100,100,0,100,30,9
54874,VA,10,4,16,100,4,16,100,0,100,100,9,13,30,9
84458,VA,11,4,16,100,4,16,100,0,100,100,9,13,30,9
50093,VA,12,4,16,100,4,16,100,0,100,100,9,13,30,9
131016,VA,13,4,16,100,4,16,100,0,100,100,9,13,30,9
238431,VA,14,4,16,100,4,16,100,0,100,100,9,13,30,9
167396,VA,15,4,16,100,4,16,100,0,100,100,9,13,30,9
93372,VA,16,4,16,100,4,16,100,0,100,100,9,13,30,9
73290,VA,17,4,16,100,4,16,100,0,100,100,9,13,30,9
128690,VA,18,4,16,100,4,16,100,0,100,100,9,13,30,9
248822,VA,19,4,16,100,4,16,100,0,100,100,9,13,30,9
98283,VA,20,4,16,100,4,16,100,0,100,100,9,13,30,9
127199,VA,21,4,16,100,4,16,100,0,100,100,9,13,30,9
881,VA,23,4,16,100,4,16,100,0,100,100,0,100,30,9
4648,VA,24,4,16,100,4,16,100,0,100,100,0,100,30,9
