dtrip,state,period,fluke_bag,fluke_min,fluke_max,fluke_bag1,fluke_min1,fluke_max1,fluke_bag2,fluke_min2,fluke_max2,bsb_bag,bsb_min,scup_bag,scup_min
5951,DE,8,4,16,100,4,16,100,0,100,100,0,100,50,9
9947,DE,9,4,16,100,4,16,100,0,100,100,0,100,50,9
60896,DE,10,4,16,100,4,16,100,0,100,100,9,13,50,9
38034,DE,11,4,16,100,4,16,100,0,100,100,9,13,50,9
111847,DE,12,4,16,100,4,16,100,0,100,100,9,13,50,9
66953,DE,13,4,16,100,4,16,100,0,100,100,9,13,50,9
87332,DE,14,4,16,100,4,16,100,0,100,100,9,13,50,9
66111,DE,15,4,16,100,4,16,100,0,100,100,9,13,50,9
48244,DE,16,4,16,100,4,16,100,0,100,100,9,13,50,9
52389,DE,17,4,16,100,4,16,100,0,100,100,9,13,50,9
39256,DE,18,4,16,100,4,16,100,0,100,100,9,13,50,9
23461,DE,19,4,16,100,4,16,100,0,100,100,9,13,50,9
10092,DE,20,4,16,100,4,16,100,0,100,100,9,13,50,9
8745,DE,21,4,16,100,4,16,100,0,100,100,9,13,50,9
10107,DE,22,4,16,100,4,16,100,0,100,100,0,100,50,9
6199,DE,23,4,16,100,4,16,100,0,100,100,0,100,50,9
6607,MD,6,4,16,100,4,16,100,0,100,100,0,100,50,9
9385,MD,7,4,16,100,4,16,100,0,100,100,0,100,50,9
68687,MD,8,4,16,100,4,16,100,0,100,100,0,100,50,9
2024,MD,9,4,16,100,4,16,100,0,100,100,0,100,50,9
24734,MD,10,4,16,100,4,16,100,0,100,100,8,13,50,9
18475,MD,11,4,16,100,4,16,100,0,100,100,8,13,50,9
58536,MD,12,4,16,100,4,16,100,0,100,100,8,13,50,9
102960,MD,13,4,16,100,4,16,100,0,100,100,8,13,50,9
85834,MD,14,4,16,100,4,16,100,0,100,100,8,13,50,9
89900,MD,15,4,16,100,4,16,100,0,100,100,8,13,50,9
42604,MD,16,4,16,100,4,16,100,0,100,100,8,13,50,9
66365,MD,17,4,16,100,4,16,100,0,100,100,8,13,50,9
63796,MD,18,4,16,100,4,16,100,0,100,100,8,13,50,9
214313,MD,19,4,16,100,4,16,100,0,100,100,8,13,50,9
7006,MD,20,4,16,100,4,16,100,0,100,100,8,13,50,9
1719,MD,21,4,16,100,4,16,100,0,100,100,8,13,50,9
15019,MD,22,4,16,100,4,16,100,0,100,100,0,100,50,9
1383,MD,24,4,16,100,4,16,100,0,100,100,0,100,50,9
1858,NC,1,0,100,100,0,100,100,0,100,100,0,100,50,9
6268,NC,2,0,100,100,0,100,100,0,100,100,0,100,50,9
764,NC,3,0,100,100,0,100,100,0,100,100,0,100,50,9
6972,NC,4,0,100,100,0,100,100,0,100,100,0,100,50,9
15930,NC,5,0,100,100,0,100,100,0,100,100,0,100,50,9
5753,NC,6,0,100,100,0,100,100,0,100,100,0,100,50,9
38561,NC,7,0,100,100,0,100,100,0,100,100,0,100,50,9
20709,NC,8,0,100,100,0,100,100,0,100,100,0,100,50,9
10927,NC,9,0,100,100,0,100,100,0,100,100,8,13,50,9
58072,NC,10,0,100,100,0,100,100,0,100,100,8,13,50,9
22312,NC,11,0,100,100,0,100,100,0,100,100,8,13,50,9
25591,NC,12,0,100,100,0,100,100,0,100,100,8,13,50,9
52069,NC,13,0,100,100,0,100,100,0,100,100,8,13,50,9
63820,NC,14,0,100,100,0,100,100,0,100,100,8,13,50,9
55341,NC,15,0,100,100,0,100,100,0,100,100,8,13,50,9
63094,NC,16,4,15,100,4,15,100,0,100,100,8,13,50,9
59774,NC,17,4,15,100,4,15,100,0,100,100,8,13,50,9
33175,NC,18,4,15,100,4,15,100,0,100,100,8,13,50,9
34695,NC,19,0,100,100,0,100,100,0,100,100,8,13,50,9
29845,NC,20,0,100,100,0,100,100,0,100,100,8,13,50,9
30868,NC,21,0,100,100,0,100,100,0,100,100,8,13,50,9
8499,NC,22,0,100,100,0,100,100,0,100,100,0,100,50,9
10006,NC,23,0,100,100,0,100,100,0,100,100,0,100,50,9
4533,NC,24,0,100,100,0,100,100,0,100,100,0,100,50,9
10098,VA,7,4,16,100,4,16,100,0,100,100,0,100,30,9
6148,VA,8,4,16,100,4,16,100,0,100,100,0,100,30,9
15021,VA,9,4,16,100,4,16,100,0,100,100,0,100,30,9
54874,VA,10,4,16,100,4,16,100,0,100,100,8,13,30,9
84458,VA,11,4,16,100,4,16,100,0,100,100,8,13,30,9
50093,VA,12,4,16,100,4,16,100,0,100,100,8,13,30,9
131016,VA,13,4,16,100,4,16,100,0,100,100,8,13,30,9
238431,VA,14,4,16,100,4,16,100,0,100,100,8,13,30,9
167396,VA,15,4,16,100,4,16,100,0,100,100,8,13,30,9
93372,VA,16,4,16,100,4,16,100,0,100,100,8,13,30,9
73290,VA,17,4,16,100,4,16,100,0,100,100,8,13,30,9
128690,VA,18,4,16,100,4,16,100,0,100,100,8,13,30,9
248822,VA,19,4,16,100,4,16,100,0,100,100,8,13,30,9
98283,VA,20,4,16,100,4,16,100,0,100,100,8,13,30,9
127199,VA,21,4,16,100,4,16,100,0,100,100,8,13,30,9
881,VA,23,4,16,100,4,16,100,0,100,100,0,100,30,9
4648,VA,24,4,16,100,4,16,100,0,100,100,0,100,30,9
