draw,age,year,Na
1,0,2020,50533200
1,1,2020,37968100
1,2,2020,35114800
1,3,2020,16893100
1,4,2020,8043550
1,5,2020,3589320
1,6,2020,2984150
1,7,2020,3837250
2,0,2020,50592500
2,1,2020,31759500
2,2,2020,32670700
2,3,2020,17098900
2,4,2020,8779190
2,5,2020,3999630
2,6,2020,3490690
2,7,2020,4265040
3,0,2020,50397800
3,1,2020,38529500
3,2,2020,39513000
3,3,2020,18639600
3,4,2020,8276420
3,5,2020,4356610
3,6,2020,3672520
3,7,2020,4457300
4,0,2020,50114300
4,1,2020,42067600
4,2,2020,36312300
4,3,2020,17083500
4,4,2020,8451000
4,5,2020,3954630
4,6,2020,3588800
4,7,2020,4078610
5,0,2020,47926610
5,1,2020,36346690
5,2,2020,26721620
5,3,2020,26421220
5,4,2020,12242220
5,5,2020,4878820
5,6,2020,2527858
5,7,2020,4041786
6,0,2020,43221170
6,1,2020,39992840
6,2,2020,31172190
6,3,2020,28355310
6,4,2020,11552820
6,5,2020,4961977
6,6,2020,2298498
6,7,2020,4541031
7,0,2020,34960660
7,1,2020,39594040
7,2,2020,33753230
7,3,2020,23797240
7,4,2020,10999490
7,5,2020,4149500
7,6,2020,2434998
7,7,2020,4422590
8,0,2020,30942250
8,1,2020,40452630
8,2,2020,34123960
8,3,2020,22063040
8,4,2020,11425160
8,5,2020,5469220
8,6,2020,2545303
8,7,2020,5371278
9,0,2020,36201160
9,1,2020,38354200
9,2,2020,29651050
9,3,2020,22420560
9,4,2020,11874590
9,5,2020,5090593
9,6,2020,2317481
9,7,2020,4802017
10,0,2020,50312400
10,1,2020,37380200
10,2,2020,35213600
10,3,2020,15759300
10,4,2020,7578870
10,5,2020,3789970
10,6,2020,3212990
10,7,2020,3526910
11,0,2020,33567550
11,1,2020,38329820
11,2,2020,27925670
11,3,2020,23563520
11,4,2020,11362490
11,5,2020,5056452
11,6,2020,2233588
11,7,2020,3996105
12,0,2020,40176540
12,1,2020,35963040
12,2,2020,28163380
12,3,2020,21252860
12,4,2020,10899610
12,5,2020,4258993
12,6,2020,1999743
12,7,2020,3740428
13,0,2020,49800600
13,1,2020,34427900
13,2,2020,31309000
13,3,2020,16109300
13,4,2020,7781350
13,5,2020,3681210
13,6,2020,3116030
13,7,2020,3815950
14,0,2020,49547400
14,1,2020,36563700
14,2,2020,28924000
14,3,2020,15249800
14,4,2020,7504800
14,5,2020,3677970
14,6,2020,3031940
14,7,2020,3742680
15,0,2020,35188350
15,1,2020,39798570
15,2,2020,22444210
15,3,2020,22352540
15,4,2020,10365210
15,5,2020,4772673
15,6,2020,2275071
15,7,2020,4150559
16,0,2020,46415370
16,1,2020,38785850
16,2,2020,32938240
16,3,2020,24722890
16,4,2020,10600350
16,5,2020,4701537
16,6,2020,2522838
16,7,2020,4454060
17,0,2020,50076600
17,1,2020,37132300
17,2,2020,33888400
17,3,2020,16639500
17,4,2020,7613830
17,5,2020,3200860
17,6,2020,2760160
17,7,2020,3226930
18,0,2020,43765650
18,1,2020,38956570
18,2,2020,31105790
18,3,2020,26125240
18,4,2020,12433340
18,5,2020,5558461
18,6,2020,2820374
18,7,2020,5073996
19,0,2020,49021400
19,1,2020,38632200
19,2,2020,29133500
19,3,2020,17373400
19,4,2020,7906640
19,5,2020,3813350
19,6,2020,3375010
19,7,2020,3567400
20,0,2020,36993130
20,1,2020,37647650
20,2,2020,19331380
20,3,2020,23637820
20,4,2020,10181920
20,5,2020,4209782
20,6,2020,2096901
20,7,2020,3866809
21,0,2020,43472920
21,1,2020,38316640
21,2,2020,32201880
21,3,2020,21497460
21,4,2020,9844826
21,5,2020,4559193
21,6,2020,2391677
21,7,2020,4640732
22,0,2020,51343100
22,1,2020,32618600
22,2,2020,34246100
22,3,2020,17900800
22,4,2020,8845360
22,5,2020,4180580
22,6,2020,3975200
22,7,2020,4477220
23,0,2020,39422160
23,1,2020,38059760
23,2,2020,28117400
23,3,2020,24123020
23,4,2020,11173100
23,5,2020,4836173
23,6,2020,2363803
23,7,2020,4568149
24,0,2020,48107500
24,1,2020,34792700
24,2,2020,31396400
24,3,2020,16186600
24,4,2020,6917150
24,5,2020,3305660
24,6,2020,2967390
24,7,2020,3213780
25,0,2020,35503570
25,1,2020,39039780
25,2,2020,36446890
25,3,2020,23895270
25,4,2020,12062400
25,5,2020,4741192
25,6,2020,2218688
25,7,2020,4531344
26,0,2020,51088600
26,1,2020,40759200
26,2,2020,38594400
26,3,2020,17068700
26,4,2020,8301100
26,5,2020,4575880
26,6,2020,3793850
26,7,2020,4837750
27,0,2020,50074900
27,1,2020,38383600
27,2,2020,36632800
27,3,2020,17984900
27,4,2020,8369420
27,5,2020,4356990
27,6,2020,3792780
27,7,2020,4497350
28,0,2020,31410360
28,1,2020,40007680
28,2,2020,30345580
28,3,2020,21787560
28,4,2020,12421520
28,5,2020,5242152
28,6,2020,2586786
28,7,2020,4199015
29,0,2020,49323000
29,1,2020,30580800
29,2,2020,31461100
29,3,2020,15084400
29,4,2020,7073280
29,5,2020,3316700
29,6,2020,2716450
29,7,2020,3197660
30,0,2020,50182400
30,1,2020,33078100
30,2,2020,38451400
30,3,2020,17908900
30,4,2020,8090830
30,5,2020,4332240
30,6,2020,3804320
30,7,2020,4502190
31,0,2020,50226400
31,1,2020,41754900
31,2,2020,32626800
31,3,2020,19412000
31,4,2020,8235140
31,5,2020,4451370
31,6,2020,3172310
31,7,2020,3568390
32,0,2020,33573330
32,1,2020,38897360
32,2,2020,24450460
32,3,2020,22925320
32,4,2020,11784930
32,5,2020,4933944
32,6,2020,2291276
32,7,2020,5457128
33,0,2020,51237200
33,1,2020,41430700
33,2,2020,36452800
33,3,2020,18068100
33,4,2020,8766800
33,5,2020,3841920
33,6,2020,3475810
33,7,2020,4187580
34,0,2020,34311540
34,1,2020,39335980
34,2,2020,31877540
34,3,2020,22841350
34,4,2020,11427460
34,5,2020,5742572
34,6,2020,2853235
34,7,2020,4620730
35,0,2020,51287300
35,1,2020,38753600
35,2,2020,39040600
35,3,2020,18020000
35,4,2020,9025860
35,5,2020,4687130
35,6,2020,3682430
35,7,2020,4472470
36,0,2020,51817100
36,1,2020,42350300
36,2,2020,37569700
36,3,2020,18246200
36,4,2020,9028170
36,5,2020,3916720
36,6,2020,3417730
36,7,2020,4118080
37,0,2020,50581700
37,1,2020,42678100
37,2,2020,30568800
37,3,2020,16895700
37,4,2020,8463000
37,5,2020,4148450
37,6,2020,3585040
37,7,2020,4177520
38,0,2020,28909770
38,1,2020,38507580
38,2,2020,24002950
38,3,2020,18777270
38,4,2020,10846690
38,5,2020,4384482
38,6,2020,2490797
38,7,2020,4370684
39,0,2020,48723900
39,1,2020,34054400
39,2,2020,32772100
39,3,2020,16097400
39,4,2020,7726200
39,5,2020,4062660
39,6,2020,3454110
39,7,2020,3892240
40,0,2020,43091160
40,1,2020,37700500
40,2,2020,22893670
40,3,2020,22272690
40,4,2020,11535830
40,5,2020,4207155
40,6,2020,2194968
40,7,2020,3952118
