draw,age,Year,Na
1,0,2021,32187690
1,1,2021,37386290
1,2,2021,23865940
1,3,2021,26244190
1,4,2021,12015880
1,5,2021,5635147
1,6,2021,2598189
1,7,2021,5542272
2,0,2021,49821300
2,1,2021,40128700
2,2,2021,34253700
2,3,2021,17090200
2,4,2021,8372010
2,5,2021,3997530
2,6,2021,3455310
2,7,2021,4181250
3,0,2021,43510290
3,1,2021,38573070
3,2,2021,28389470
3,3,2021,25329740
3,4,2021,13109230
3,5,2021,5124300
3,6,2021,2488096
3,7,2021,4280595
4,0,2021,50084300
4,1,2021,38938500
4,2,2021,32524400
4,3,2021,16946500
4,4,2021,7391670
4,5,2021,3452480
4,6,2021,2691790
4,7,2021,3457440
5,0,2021,34194740
5,1,2021,38968220
5,2,2021,23962460
5,3,2021,20472810
5,4,2021,10606520
5,5,2021,5461585
5,6,2021,2819463
5,7,2021,4884926
6,0,2021,57600770
6,1,2021,37210390
6,2,2021,27184830
6,3,2021,22502550
6,4,2021,11782050
6,5,2021,5352867
6,6,2021,2839667
6,7,2021,5377426
7,0,2021,48789700
7,1,2021,30532500
7,2,2021,27968400
7,3,2021,16618700
7,4,2021,8375190
7,5,2021,3933770
7,6,2021,3218320
7,7,2021,3641560
8,0,2021,34281560
8,1,2021,37144570
8,2,2021,25238140
8,3,2021,27021990
8,4,2021,13525590
8,5,2021,5691546
8,6,2021,2632068
8,7,2021,5575474
9,0,2021,48822900
9,1,2021,28422600
9,2,2021,32739000
9,3,2021,15816800
9,4,2021,7212500
9,5,2021,3265310
9,6,2021,2690650
9,7,2021,3241100
10,0,2021,49887600
10,1,2021,36197100
10,2,2021,32619000
10,3,2021,18610800
10,4,2021,9073600
10,5,2021,3979830
10,6,2021,3312900
10,7,2021,4484930
11,0,2021,50321200
11,1,2021,31085400
11,2,2021,34940300
11,3,2021,18026700
11,4,2021,8662990
11,5,2021,4472160
11,6,2021,3639140
11,7,2021,4272640
12,0,2021,41922520
12,1,2021,38345960
12,2,2021,24921040
12,3,2021,23999590
12,4,2021,11859400
12,5,2021,4798853
12,6,2021,2362422
12,7,2021,4293487
13,0,2021,44171160
13,1,2021,37720000
13,2,2021,28275510
13,3,2021,24503640
13,4,2021,9715548
13,5,2021,4967919
13,6,2021,2513510
13,7,2021,4519661
14,0,2021,37018040
14,1,2021,40395520
14,2,2021,28967660
14,3,2021,20870500
14,4,2021,11375490
14,5,2021,4245970
14,6,2021,2338397
14,7,2021,4499470
15,0,2021,33732950
15,1,2021,38405470
15,2,2021,28520070
15,3,2021,26798720
15,4,2021,12244370
15,5,2021,5540093
15,6,2021,2723070
15,7,2021,5451020
16,0,2021,50714800
16,1,2021,29568700
16,2,2021,31989200
16,3,2021,18802500
16,4,2021,8780780
16,5,2021,4344930
16,6,2021,3237430
16,7,2021,4209260
17,0,2021,31252620
17,1,2021,37211260
17,2,2021,25365680
17,3,2021,23288960
17,4,2021,11455290
17,5,2021,5329923
17,6,2021,1918152
17,7,2021,3772014
18,0,2021,50618200
18,1,2021,40457600
18,2,2021,33229000
18,3,2021,17399000
18,4,2021,9040560
18,5,2021,4453850
18,6,2021,3899080
18,7,2021,4704570
19,0,2021,51153900
19,1,2021,39488700
19,2,2021,35671500
19,3,2021,18104400
19,4,2021,8208180
19,5,2021,4318650
19,6,2021,3647800
19,7,2021,4337590
20,0,2021,40966490
20,1,2021,40307480
20,2,2021,26565760
20,3,2021,24167680
20,4,2021,10595920
20,5,2021,4327917
20,6,2021,2123415
20,7,2021,4351137
21,0,2021,51038000
21,1,2021,44486700
21,2,2021,41950600
21,3,2021,17958600
21,4,2021,9071630
21,5,2021,4336930
21,6,2021,3840170
21,7,2021,4726310
22,0,2021,50884200
22,1,2021,39095700
22,2,2021,32136200
22,3,2021,18809700
22,4,2021,8569770
22,5,2021,4792980
22,6,2021,3494240
22,7,2021,4399020
23,0,2021,32466330
23,1,2021,38451950
23,2,2021,29417800
23,3,2021,24081730
23,4,2021,10993380
23,5,2021,4779652
23,6,2021,2389074
23,7,2021,3757030
24,0,2021,50418500
24,1,2021,31475900
24,2,2021,31431100
24,3,2021,18708900
24,4,2021,7978260
24,5,2021,3802560
24,6,2021,3337410
24,7,2021,4654790
25,0,2021,33146370
25,1,2021,38995120
25,2,2021,31437590
25,3,2021,20498780
25,4,2021,12023480
25,5,2021,4049761
25,6,2021,2034736
25,7,2021,4234128
26,0,2021,35244670
26,1,2021,36922430
26,2,2021,26276520
26,3,2021,21995680
26,4,2021,11126780
26,5,2021,5491022
26,6,2021,2333824
26,7,2021,4892805
27,0,2021,33472490
27,1,2021,38816240
27,2,2021,29483760
27,3,2021,22162280
27,4,2021,10966470
27,5,2021,5576327
27,6,2021,2518280
27,7,2021,4583093
28,0,2021,49403400
28,1,2021,31461800
28,2,2021,33001000
28,3,2021,17695500
28,4,2021,7617730
28,5,2021,3673800
28,6,2021,3171370
28,7,2021,3598450
29,0,2021,47027500
29,1,2021,37253780
29,2,2021,22868830
29,3,2021,22191480
29,4,2021,10687910
29,5,2021,4423508
29,6,2021,2261383
29,7,2021,3991663
30,0,2021,31332400
30,1,2021,37946340
30,2,2021,33008780
30,3,2021,23610820
30,4,2021,11660790
30,5,2021,4927863
30,6,2021,2588662
30,7,2021,4198258
31,0,2021,50413800
31,1,2021,37927300
31,2,2021,41066900
31,3,2021,17692800
31,4,2021,8279010
31,5,2021,3811260
31,6,2021,3394910
31,7,2021,4267840
32,0,2021,51234700
32,1,2021,34466300
32,2,2021,34432300
32,3,2021,19985500
32,4,2021,9207000
32,5,2021,4438470
32,6,2021,3823060
32,7,2021,5557910
33,0,2021,51179700
33,1,2021,47220600
33,2,2021,38570500
33,3,2021,17963100
33,4,2021,7991380
33,5,2021,4100310
33,6,2021,3661740
33,7,2021,4157840
34,0,2021,50325200
34,1,2021,38707000
34,2,2021,33009300
34,3,2021,16634100
34,4,2021,7842500
34,5,2021,4065730
34,6,2021,3054500
34,7,2021,4087010
35,0,2021,50030100
35,1,2021,37134800
35,2,2021,32888700
35,3,2021,16396400
35,4,2021,7744230
35,5,2021,3510110
35,6,2021,2932250
35,7,2021,3232880
36,0,2021,48656950
36,1,2021,40110750
36,2,2021,36497840
36,3,2021,21281420
36,4,2021,11107840
36,5,2021,4778196
36,6,2021,2256440
36,7,2021,4139907
37,0,2021,47697080
37,1,2021,39351480
37,2,2021,27951960
37,3,2021,25627550
37,4,2021,12627180
37,5,2021,5578824
37,6,2021,2331811
37,7,2021,5313694
38,0,2021,49415100
38,1,2021,37271930
