scup_mu,scup_size,bsb_mu,bsb_size,sf_mu,sf_size,draw,state
3.2802441,.32752329,2.1206446,.21723832,.72563595,.13415843,1,CT
3.1756325,.32860413,1.8078541,.2211581,.66820133,.13632484,2,CT
3.40326,.32634547,1.5397322,.22597182,.68904006,.13548885,3,CT
3.5386548,.32515249,1.6993983,.22289832,.72082448,.13432419,4,CT
3.3680642,.32667282,2.2820823,.21567538,.65434325,.13691643,5,CT
3.4724994,.32572269,2.1675458,.21675786,.62844086,.13810751,6,CT
3.1329904,.32906759,1.8289018,.22084719,.65854669,.1367338,7,CT
3.2118058,.32822162,1.7918149,.22140054,.72714245,.13410705,8,CT
3.2386994,.32794333,1.5962127,.22480442,.69861758,.13512459,9,CT
3.2644606,.32768148,1.6677192,.22345506,.65376723,.13694167,10,CT
3.4073644,.3263078,1.7381853,.22224784,.74418044,.13354316,11,CT
3.2447422,.32788152,1.8669688,.22030476,.79185331,.13211584,12,CT
3.1621444,.32874924,2.1299455,.2171412,.70080823,.13504295,13,CT
3.1493161,.32888851,1.7331163,.22233097,.71575147,.13450184,14,CT
3.2056775,.32828575,1.8911769,.21997249,.68449509,.13566598,15,CT
3.4557641,.32587072,1.8017622,.22124961,.75120813,.13331935,16,CT
3.5300951,.32522497,1.7521836,.22202104,.58328837,.14049762,17,CT
3.2006116,.32833898,2.0222869,.21832609,.69940662,.13509512,18,CT
3.5103602,.3253935,1.2714007,.23319481,.72749084,.13409521,19,CT
3.1842589,.32851204,2.171984,.21671358,.71932381,.13437644,20,CT
3.2169905,.32816759,2.266351,.21581696,.6640377,.13649945,21,CT
3.5670347,.32491496,1.9713919,.21893631,.67312211,.13612181,22,CT
3.1657467,.32871035,1.9295374,.219465,.68500775,.13564587,23,CT
3.23718,.32795891,1.9391465,.21934138,.53042287,.1439535,24,CT
3.3102331,.32722729,1.3916498,.22955668,.7923674,.13210154,25,CT
3.4135051,.3262516,1.8519268,.22051612,.64323407,.13741301,26,CT
3.2359796,.32797125,2.1601095,.2168325,.71087366,.13467549,27,CT
3.2034714,.32830891,2.0447724,.21806721,.72145772,.13430223,28,CT
3.1921577,.32842821,2.2105057,.21633741,.75292206,.13326551,29,CT
3.1750827,.32861003,1.855788,.2204615,.78080618,.13242844,30,CT
3.2899408,.32742694,1.8271456,.22087282,.64022428,.13755114,31,CT
3.325784,.32707614,1.8669556,.22030495,.63226533,.13792416,32,CT
3.296577,.32736138,1.9464639,.21924815,.77001476,.13274397,33,CT
3.5162792,.32534274,1.993757,.2186639,.66728663,.13636297,34,CT
3.3335602,.32700109,1.922523,.21955611,.64251757,.13744575,35,CT
3.401562,.32636109,1.9586294,.21909486,.63542527,.13777471,36,CT
3.4569602,.32586008,1.8970926,.21989274,.65891302,.13671802,37,CT
3.3294148,.32704106,1.7719699,.22170734,.70782018,.13478565,38,CT
3.1521325,.32885784,1.5289383,.2262062,.71563083,.13450611,39,CT
3.3434293,.32690644,2.2591836,.21588218,.73944223,.1336969,40,CT
