wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
4153,11,0,0
2883,0,0,0
4151,1,0,0
387,1,0,0
5377,0,1,0
12498,0,3,0
7901,1,0,0
2449,0,2,0
2820,1,0,0
1990,0,2,0
2677,0,1,0
13443,0,5,0
438,12,0,0
10642,0,10,0
1990,0,2,0
11693,0,2,0
10073,2,0,0
17488,0,0,0
11693,1,0,0
27510,1,0,0
26,0,1,0
2632,0,2,0
4913,1,0,0
5981,1,0,0
13443,0,8,0
7901,0,0,0
16387,4,0,0
7901,0,0,0
112,0,0,0
106,2,0,0
24737,8,0,0
286,0,0,0
772,0,15,0
1431,2,0,0
2050,0,0,0
5599,0,1,0
17488,1,2,0
3069,1,0,0
3069,5,0,0
2132,2,0,0
113,0,0,0
10642,0,5,0
2632,0,2,0
4997,0,6,0
229,0,0,0
598,1,0,0
786,0,0,0
1039,5,0,0
982,0,0,0
838,1,0,0
2883,3,1,0
977,0,0,0
1378,0,2,0
1610,1,0,0
6132,5,0,0
1194,20,0,0
21937,0,10,0
11693,1,0,0
12512,0,8,0
13443,0,10,0
2597,0,0,0
405,2,0,0
2632,0,1,0
2132,2,1,0
441,4,1,0
3069,5,0,0
438,0,0,0
6783,0,0,0
614,2,0,0
313,6,8,0
4997,0,6,0
9289,1,8,0
4913,4,0,0
9289,0,4,0
3209,1,0,0
18465,1,20,0
405,0,0,0
11693,2,0,0
16387,4,0,0
3574,0,0,0
364,9,1,0
21937,0,10,0
13737,0,0,0
1095,0,1,0
13443,0,2,0
12512,0,7,0
10027,0,0,0
7901,0,0,0
13443,0,5,0
461,1,2,0
787,0,0,0
1179,5,0,0
1336,1,0,0
2824,1,20,0
1644,1,0,0
3629,0,0,0
17488,4,0,0
617,1,0,0
12498,0,1,0
3030,0,0,0
16,1,0,0
4153,3,1,0
1381,0,15,0
440,0,5,0
17488,6,0,0
9289,1,8,0
2677,0,1,0
7242,1,0,0
27510,1,0,0
64,1,1,0
24737,1,25,0
21937,0,10,0
9303,2,0,0
7901,1,0,0
335,0,7,0
480,2,0,0
19,0,14,0
308,12,0,0
2900,1,0,0
17488,0,0,0
413,0,1,0
864,2,0,0
5619,2,0,0
129,0,0,0
13737,0,0,0
383,0,0,0
11693,0,0,0
13737,0,0,0
4694,0,1,0
5250,0,0,0
3125,0,1,0
5014,0,0,0
623,6,0,0
13443,0,4,0
807,0,0,0
298,1,0,0
446,15,0,0
13443,0,10,0
9303,2,0,0
1507,0,0,0
12498,0,6,0
17488,6,0,0
124,0,0,0
9165,1,0,0
4868,1,1,0
8166,0,8,0
27510,1,0,0
223,1,0,0
5619,3,0,0
1610,1,0,0
187,0,0,0
27510,1,0,0
811,0,0,0
3209,0,0,0
2050,0,0,0
1334,1,0,0
1378,4,2,0
413,2,0,0
13443,0,4,0
3867,0,4,0
13268,1,0,0
1179,5,0,0
24737,8,0,0
18465,0,0,0
786,0,0,0
1039,5,0,0
3458,1,0,0
13443,0,10,0
364,7,1,0
4153,3,1,0
129,0,0,0
489,11,10,0
5981,1,0,0
2132,2,0,0
10642,0,1,0
10642,0,0,0
2677,0,1,0
209,2,0,0
13443,0,20,0
24737,8,0,0
11693,1,0,0
8756,2,0,0
4151,0,1,0
17488,6,0,0
13737,0,0,0
21937,0,10,0
772,0,15,0
560,0,0,0
439,6,1,0
7719,2,1,0
1528,0,1,0
518,0,0,0
5994,0,10,0
3209,10,0,0
21937,0,1,0
2632,0,2,0
211,3,0,0
2546,0,0,0
6783,0,0,0
13443,0,8,0
283,0,1,0
5059,0,0,0
10027,1,0,0
427,4,0,0
1528,0,1,0
11693,2,0,0
678,0,10,0
2677,0,1,0
147,1,2,0
383,0,0,0
2063,0,5,0
8409,0,0,0
668,12,0,0
21937,6,0,0
323,2,0,0
199,3,0,0
469,0,0,0
11693,1,3,0
13443,0,5,0
4070,0,0,0
3209,0,0,0
4070,0,0,0
7901,1,0,0
945,0,4,0
1095,0,1,0
10027,1,0,0
4692,0,0,0
2762,0,0,0
3209,3,0,0
3458,1,0,0
2900,1,0,0
668,4,0,0
2608,0,4,0
11693,1,3,0
2198,0,0,0
3087,0,0,0
10631,1,0,0
390,0,3,0
1175,5,0,0
1078,3,0,0
21937,6,0,0
9303,2,0,0
10027,1,0,0
1536,1,0,0
286,0,0,0
21937,6,0,0
1176,1,0,0
1281,0,12,0
2703,2,0,0
10642,0,1,0
9303,2,0,0
466,0,0,0
125,0,0,0
13238,0,0,0
298,3,1,0
1714,0,1,0
4185,0,5,0
13737,0,0,0
3209,0,0,0
2677,0,1,0
2632,0,1,0
8409,0,0,0
13443,0,30,0
18465,0,0,0
2132,1,0,0
17488,1,2,0
11693,1,3,0
3331,0,0,0
873,1,0,0
13737,0,0,0
1484,1,0,0
261,0,0,0
3209,1,0,0
1172,2,0,0
742,0,0,0
27510,1,0,0
4399,0,0,0
94,1,1,0
533,7,7,0
13737,0,0,0
2173,3,5,0
92,0,2,0
13737,0,0,0
3209,0,0,0
7901,1,0,0
435,1,0,0
24737,0,0,0
2546,0,0,0
3087,2,0,0
177,0,0,0
3275,0,2,0
24737,0,0,0
3209,1,0,0
772,0,15,0
6503,1,0,0
401,0,0,0
5014,0,0,0
4151,0,0,0
3867,0,4,0
2677,0,1,0
8415,0,0,0
17488,6,0,0
37,0,111,0
24737,0,0,0
376,8,0,0
3370,0,1,0
471,1,0,0
24737,0,0,0
2389,1,0,0
2410,2,0,0
230,0,0,0
441,4,1,0
4692,0,0,0
3458,2,0,0
4898,0,4,0
11693,1,0,0
12498,0,5,0
16387,4,0,0
3562,0,1,0
5619,3,0,0
17488,0,0,0
668,2,2,0
