wp_int,sf_tot_cat,bsb_tot_cat,scup_tot_cat
975,0,0,5
22144,0,0,20
11299,0,0,10
1707,0,3,1
22144,0,0,1
7467,0,5,6
6133,0,1,7
1228,0,0,0
7467,0,7,0
7494,0,0,0
315,0,0,0
170,0,1,0
11524,7,22,7
1098,0,0,0
919,0,12,0
3623,0,3,4
4587,1,0,4
123,0,0,8
3623,0,1,0
7159,0,12,0
22144,0,0,1
351,1,2,9
532,0,5,0
1414,0,7,0
351,1,0,0
2062,2,6,0
912,0,0,2
2380,0,0,0
1210,0,0,0
6259,0,0,1
428,0,1,0
1441,0,2,1
3623,0,1,7
6259,0,0,0
351,0,0,1
11524,7,22,7
22144,0,0,1
7159,0,12,0
7467,0,5,6
142,0,0,0
6259,0,0,1
117,0,0,0
2780,0,0,0
226,0,0,2
1454,0,0,1
3648,0,11,1
1650,0,0,3
553,0,7,0
7494,0,0,0
545,0,0,0
5671,3,0,0
573,0,2,1
412,0,0,1
126,7,0,0
3623,0,2,0
87,0,1,5
1337,0,0,0
3623,0,2,1
6133,0,0,3
2780,0,1,15
266,0,0,0
1930,0,1,1
1112,0,0,4
7494,0,0,0
22144,0,0,1
975,0,0,5
7467,0,7,0
1483,0,0,0
386,0,1,2
6133,0,0,0
339,0,5,6
8600,0,0,0
662,0,3,11
835,0,5,9
654,0,5,11
3516,0,6,3
7159,0,12,0
1098,0,1,1
137,0,1,0
915,0,0,9
1441,0,0,0
295,0,1,4
769,0,2,3
312,1,0,0
1483,0,0,1
109,0,0,32
6133,0,0,1
580,1,0,0
6133,0,0,1
2780,0,0,15
1088,2,0,0
8764,0,5,0
6133,0,0,2
654,0,3,8
1930,0,0,11
1093,2,0,3
22144,0,0,1
11524,0,4,15
8600,0,0,0
4207,0,0,0
312,1,7,8
22144,0,0,1
835,0,8,2
1483,0,0,1
2780,0,0,0
171,0,3,5
351,0,3,3
6133,0,0,2
1055,0,0,3
2780,0,1,15
5671,3,0,0
751,0,1,0
3648,1,2,0
195,0,2,5
3623,0,2,1
4587,0,0,2
1245,0,0,3
2827,0,0,25
3648,1,2,0
3623,0,3,1
7467,0,7,0
1483,0,0,2
11524,7,22,7
1098,0,0,1
7467,0,7,0
2784,0,0,0
1098,0,0,0
200,0,8,16
22144,0,0,1
3623,0,20,7
365,0,5,2
11524,7,22,7
412,0,0,9
2062,2,6,0
912,0,0,0
7467,0,9,0
3623,0,3,1
1414,0,16,0
3648,0,11,1
6465,0,0,14
3623,0,15,2
7159,0,12,0
11524,7,22,7
659,0,3,21
1414,4,0,0
22144,0,0,1
102,0,0,0
11524,11,18,16
387,0,0,1
5724,0,0,0
8764,0,5,0
2780,0,0,0
22144,0,0,1
3623,0,2,10
1483,0,0,3
22144,0,0,1
195,0,3,13
170,4,20,0
333,0,2,0
995,0,1,0
781,0,0,7
315,0,0,1
269,0,5,2
11299,0,0,10
719,0,0,0
2784,0,0,1
6465,0,0,14
3648,0,0,1
267,0,1,8
3648,1,25,5
1930,0,0,1
1098,0,2,1
211,0,0,4
336,0,1,0
11524,11,18,16
333,0,4,0
173,0,0,5
112,0,1,3
145,0,8,1
3623,0,9,1
3623,0,2,0
1453,1,0,0
5724,0,0,0
7494,0,0,0
6133,0,0,3
22144,0,0,20
6133,0,1,7
11299,0,0,10
357,0,1,3
22144,0,0,20
560,1,0,0
6259,0,0,1
3516,0,18,9
654,0,5,10
6133,0,0,1
312,0,0,1
2784,0,0,1
408,0,0,11
5565,1,0,0
188,0,5,0
1133,0,0,0
3623,0,3,0
11524,0,4,15
290,0,1,2
1425,0,0,0
659,0,5,15
1650,0,0,1
342,0,2,3
22144,0,0,1
2055,1,0,0
170,0,5,5
312,1,8,7
485,0,0,0
11524,0,1,2
315,0,0,2
659,0,0,0
4207,0,0,6
6133,0,0,2
2062,2,6,0
137,0,1,0
279,0,0,2
6133,0,0,2
6133,0,0,3
912,0,0,2
286,0,0,0
2780,0,0,0
3623,0,15,2
7467,0,7,0
5921,0,5,0
189,0,1,1
8764,0,5,0
6133,0,0,2
1732,1,3,2
187,0,0,0
3623,0,3,1
1826,0,3,0
500,1,0,1
373,0,2,3
169,0,11,0
602,2,2,15
3623,0,14,4
387,0,0,1
835,0,10,7
1303,0,2,4
7467,0,7,0
3648,0,2,0
654,0,3,8
2498,0,17,0
1957,0,15,0
11524,7,22,7
1102,0,0,2
6133,0,1,7
3648,0,0,5
6133,0,0,2
368,0,2,2
4207,0,0,0
3623,0,3,0
1453,1,0,0
325,1,0,0
170,4,20,0
5921,0,0,0
1930,0,0,11
1458,0,0,2
22144,0,0,1
17,0,5,0
342,2,1,0
2827,0,0,20
1098,2,7,10
11524,0,4,15
2784,0,0,0
1337,0,0,0
1650,0,0,1
133,0,1,0
3623,0,0,9
143,0,10,33
1441,0,38,0
1093,2,1,3
5921,0,0,0
654,0,0,0
6133,0,0,1
173,0,7,0
3648,0,0,5
2498,0,17,0
408,0,0,11
6133,0,1,7
6259,0,0,0
7467,0,7,5
2180,0,0,7
3623,0,0,9
325,0,3,3
373,0,0,1
300,12,14,0
661,0,0,0
5724,0,0,0
5921,0,0,0
3648,0,25,5
6133,0,0,0
387,0,0,0
6133,0,0,0
751,0,1,0
8764,0,2,0
6649,0,0,0
769,0,15,3
11524,0,1,3
3648,0,0,5
782,0,0,2
2180,0,0,0
1352,0,1,0
3623,0,2,10
295,0,1,3
2350,0,0,5
1957,0,9,3
1348,0,0,0
4207,0,0,12
1228,0,0,0
1454,1,3,0
6133,0,0,3
6133,0,0,0
5921,0,5,0
6133,0,0,2
1098,0,0,0
2827,0,0,20
1098,2,16,1
1839,0,1,1
614,4,5,0
1483,0,0,0
1795,6,0,0
2827,0,0,20
8764,0,5,0
1098,0,3,0
22144,0,0,1
22144,0,0,1
3648,0,25,5
1441,0,0,3
22144,0,0,1
11524,7,22,7
1483,0,0,0
533,0,0,2
11524,0,10,4
3648,0,1,5
373,1,0,1
6133,0,0,1
2180,1,1,2
22144,0,0,20
3623,0,4,1
1441,0,0,5
8600,0,0,0
1098,0,1,0
2784,0,0,0
3648,0,2,1
412,0,0,1
11524,11,18,16
22144,0,0,1
3516,0,18,9
290,0,0,1
5,0,4,4
6133,0,0,3
532,0,5,0
1098,0,9,1
4207,0,0,6
6133,0,0,2
4207,0,0,6
5921,0,2,0
8764,0,5,0
1483,0,0,3
22144,0,0,1
309,0,2,1
22144,0,0,1
1098,0,2,0
2780,0,0,5
1228,0,0,0
143,0,1,7
195,0,1,0
396,0,2,2
22144,0,0,1
6133,0,0,3
351,0,1,11
22144,0,0,1
1098,0,0,0
338,0,3,0
912,1,0,4
3623,0,10,2
593,0,0,0
518,0,0,3
3623,0,2,0
1909,2,4,0
3648,0,0,1
7467,0,7,2
862,0,0,0
4207,0,0,1
1098,0,0,1
5671,3,0,0
2350,1,0,2
6465,0,0,0
602,2,2,15
5921,0,5,0
2350,0,0,5
360,0,0,0
6465,0,0,0
3623,0,1,0
1245,0,0,3
200,1,1,0
1098,0,0,0
217,0,3,0
194,0,0,0
1348,0,0,0
2780,0,0,15
1732,0,20,15
191,0,0,0
387,0,0,0
1102,0,0,7
662,0,3,8
1930,2,0,4
7467,0,9,0
253,1,0,2
22144,0,0,1
412,0,0,0
1826,0,3,0
360,1,0,0
11524,0,10,4
2121,0,17,2
6133,0,0,2
22144,0,0,1
11524,0,1,3
1732,0,2,1
6133,0,0,2
1930,6,0,0
5671,3,0,0
629,0,0,10
11299,0,0,10
6133,0,0,2
3623,0,5,0
2062,3,10,0
2784,0,0,0
3623,0,15,2
2105,3,1,0
2350,0,0,5
8764,0,5,0
3648,0,1,5
8764,0,5,0
408,0,0,2
915,0,0,1
11524,11,18,16
5921,0,5,0
344,0,0,0
6133,0,0,0
1348,0,0,0
368,0,2,2
22144,0,0,1
975,0,0,5
591,0,0,2
1228,0,0,0
1522,0,0,0
1522,0,0,0
335,0,0,1
4587,2,0,5
1228,0,0,0
22144,0,0,1
3648,0,11,1
309,0,2,3
22144,0,0,1
1839,0,5,0
8764,0,2,0
6133,0,0,3
1930,0,1,1
2780,0,0,8
336,0,2,0
7467,0,5,6
912,0,0,2
622,1,2,5
6133,0,0,0
22144,0,0,1
3623,0,5,5
661,0,0,0
2780,0,0,8
1453,2,0,2
2180,2,3,8
5724,0,0,0
1133,0,1,1
289,0,5,2
3623,0,3,1
1002,0,0,0
1098,0,0,1
3623,0,1,0
11524,0,4,15
6465,0,0,14
