state,length,prob_star,nfish,tot_cat,q
CT,6,.000015038712263,1220918.52761507,12.744316,.000010438302
CT,7,.0001739777653711,14648127.62233973,147.43468,.000010065087
CT,8,.0011381352087483,17700423.2045567,964.49445,.000054489909
CT,9,.0048156403936446,19526977.21773148,4080.9375,.00020898972
CT,10,.0147625207901001,7319721.747608185,12510.262,.0017091171
CT,11,.0344171561300755,6807616.697880607,29166.268,.0042843581
CT,12,.0633039325475693,5129077.179595958,53645.906,.010459173
CT,13,.0958796888589859,7811528.498543594,81251.711,.010401512
CT,14,.1229121387004852,10622623.2087824,104159.92,.00980548
CT,15,.1362884193658829,19989510.44334469,115495.44,.0057778023
CT,16,.133089616894722,10726731.03776815,112784.66,.010514355
CT,17,.1164517179131508,10062679.26104955,98685.148,.0098070446
CT,18,.0917520225048065,6038878.782835165,77753.781,.012875533
CT,19,.0715280920267105,5666636.764179095,60615.336,.010696881
CT,20,.0475412346422672,4624082.552009279,40288.059,.0087126596
CT,21,.0296895373612642,2222816.851014554,25159.924,.011318937
CT,22,.0173199623823166,2827079.242928998,14677.525,.0051917629
CT,23,.0095116179436445,1938577.603260271,8060.4683,.0041579292
CT,24,.0048872055485845,1946071.29072395,4141.584,.0021281769
CT,25,.0024662902578712,898671.8199496812,2090.0183,.0023256748
CT,26,.0011491709155962,935305.1976304419,973.8465,.0010412072
CT,27,.0005320468335412,452822.1843937254,450.87457,.00099569897
CT,28,.0002237212029286,459087.6791513084,189.58896,.00041296895
CT,29,.0000940574391279,152524.5591830956,79.707474,.0005225878
CT,30,.000036709188862,62844.20945271384,31.108614,.00049501163
CT,31,.0000152823649842,31422.10374600906,12.950796,.00041215561
CT,32,5.04160516357e-06,10474.03458200302,4.2724276,.00040790657
DE,6,.0143456825753674,1220918.52761507,7645.1157,.0062617739
DE,7,.0262365769594908,14648127.62233973,13982.022,.00095452624
DE,8,.0490272827446461,17700423.2045567,26127.668,.0014761041
DE,9,.0749789178371429,19526977.21773148,39957.84,.0020462892
DE,10,.0973747596144676,7319721.747608185,51893.055,.0070894845
DE,11,.110116109251976,6807616.697880607,58683.188,.0086202249
DE,12,.1121053919196129,5129077.179595958,59743.316,.011647966
DE,13,.1035232618451118,7811528.498543594,55169.719,.0070626023
DE,14,.0887076109647751,10622623.2087824,47274.148,.0044503273
DE,15,.0704610273241997,19989510.44334469,37550.16,.0018784932
