l_in_bin,age,proportion
3,0,.0013351135
4,0,.018691588
5,0,.10814419
6,0,.064085446
7,0,.048064087
8,0,.064085446
9,0,.074766353
10,0,.10680908
11,0,.097463287
12,0,.12283044
13,0,.16154873
14,0,.098798394
15,0,.033377837
16,0,0
17,0,0
18,0,0
19,0,0
20,0,0
21,0,0
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
41,0,0
3,1,0
4,1,.00071174378
5,1,0
6,1,.00071174378
7,1,.0042704628
8,1,.010676157
9,1,.030604983
10,1,.054092526
11,1,.060498219
12,1,.051957294
13,1,.14234875
14,1,.16227758
15,1,.14234875
16,1,.17224199
17,1,.11032028
18,1,.036298931
19,1,.014234875
20,1,.0056939502
21,1,.00071174378
22,1,0
23,1,0
24,1,0
25,1,0
26,1,0
27,1,0
28,1,0
29,1,0
30,1,0
31,1,0
32,1,0
33,1,0
34,1,0
35,1,0
36,1,0
37,1,0
38,1,0
39,1,0
41,1,0
3,2,0
4,2,0
5,2,0
6,2,0
7,2,0
8,2,0
9,2,0
10,2,0
11,2,0
12,2,0
13,2,.012106538
14,2,.02905569
15,2,.062953994
16,2,.094430991
17,2,.13680388
18,2,.13922518
19,2,.1622276
20,2,.13559322
21,2,.096852303
22,2,.072639227
23,2,.032687653
24,2,.015738498
25,2,.0072639226
26,2,.0012106538
27,2,.0012106538
28,2,0
29,2,0
30,2,0
31,2,0
32,2,0
33,2,0
34,2,0
35,2,0
36,2,0
37,2,0
38,2,0
39,2,0
41,2,0
3,3,0
4,3,0
5,3,0
6,3,0
7,3,0
8,3,0
9,3,0
10,3,0
11,3,0
12,3,0
13,3,0
14,3,0
15,3,0
16,3,.0072595282
17,3,.010889292
18,3,.047186933
19,3,.074410163
20,3,.13793103
21,3,.1724138
22,3,.14156079
23,3,.15426497
24,3,.10889293
25,3,.065335751
26,3,.041742288
27,3,.030852994
28,3,.0054446459
29,3,.001814882
30,3,0
31,3,0
32,3,0
33,3,0
34,3,0
35,3,0
36,3,0
37,3,0
38,3,0
39,3,0
41,3,0
3,4,0
4,4,0
5,4,0
6,4,0
7,4,0
8,4,0
9,4,0
10,4,0
11,4,0
12,4,0
13,4,0
14,4,0
15,4,0
16,4,0
17,4,0
18,4,0
19,4,.011594203
20,4,.049275361
21,4,.09565217
22,4,.10144927
23,4,.11594203
24,4,.13333334
25,4,.12173913
26,4,.10434783
27,4,.11014493
28,4,.084057972
29,4,.034782607
30,4,.023188407
31,4,.014492754
32,4,0
33,4,0
34,4,0
35,4,0
36,4,0
37,4,0
38,4,0
39,4,0
41,4,0
3,5,0
4,5,0
5,5,0
6,5,0
7,5,0
8,5,0
9,5,0
10,5,0
11,5,0
12,5,0
13,5,0
14,5,0
15,5,0
16,5,0
17,5,0
18,5,0
19,5,0
20,5,0
21,5,.013513514
22,5,.043918919
23,5,.064189188
24,5,.094594598
25,5,.13851352
26,5,.12837838
27,5,.15878378
28,5,.1418919
29,5,.097972974
30,5,.081081077
31,5,.020270269
32,5,.013513514
33,5,.0033783785
34,5,0
35,5,0
36,5,0
37,5,0
38,5,0
39,5,0
41,5,0
3,6,0
4,6,0
5,6,0
6,6,0
7,6,0
8,6,0
9,6,0
10,6,0
11,6,0
12,6,0
13,6,0
14,6,0
15,6,0
16,6,0
17,6,0
18,6,0
19,6,0
20,6,0
21,6,0
22,6,.012269938
23,6,.030674847
24,6,.042944785
25,6,.055214725
26,6,.067484662
27,6,.098159507
28,6,.14723927
29,6,.17791411
30,6,.14723927
31,6,.11042945
32,6,.049079753
33,6,.049079753
34,6,.0061349692
35,6,0
36,6,0
37,6,.0061349692
38,6,0
39,6,0
41,6,0
3,7,0
4,7,0
5,7,0
6,7,0
7,7,0
8,7,0
9,7,0
10,7,0
11,7,0
12,7,0
13,7,0
14,7,0
15,7,0
16,7,0
17,7,0
18,7,0
19,7,0
20,7,0
21,7,0
22,7,.0034013605
23,7,0
24,7,0
25,7,0
26,7,.0034013605
27,7,.013605442
28,7,.037414964
29,7,.074829929
30,7,.12244898
31,7,.20068027
32,7,.19047619
33,7,.12585033
34,7,.088435374
35,7,.07823129
36,7,.027210884
37,7,.020408163
38,7,.0034013605
39,7,.0068027209
41,7,.0034013605
