draw,age,year,Na
1,0,2021,39695160
1,1,2021,80526620
1,2,2021,43030540
1,3,2021,49748030
1,4,2021,7363257
1,5,2021,22437910
1,6,2021,15891150
1,7,2021,194702400
2,0,2021,147620600
2,1,2021,98409920
2,2,2021,70307280
2,3,2021,15501980
2,4,2021,41799700
2,5,2021,23357660
2,6,2021,26085050
2,7,2021,195605200
3,0,2021,109395800
3,1,2021,85600140
3,2,2021,72410510
3,3,2021,13147900
3,4,2021,29016950
3,5,2021,21657800
3,6,2021,25132110
3,7,2021,155120600
4,0,2021,109510000
4,1,2021,12186000
4,2,2021,55096100
4,3,2021,33757800
4,4,2021,40574500
4,5,2021,83080600
4,6,2021,44434900
4,7,2021,102353000
5,0,2021,123953400
5,1,2021,92446670
5,2,2021,20927930
5,3,2021,39948900
5,4,2021,24436160
5,5,2021,31625840
5,6,2021,65075350
5,7,2021,122089600
6,0,2021,111760300
6,1,2021,59771920
6,2,2021,64064790
6,3,2021,44636030
6,4,2021,10395130
6,5,2021,15930180
6,6,2021,13854460
6,7,2021,152896700
7,0,2021,138493300
7,1,2021,37996890
7,2,2021,57282220
7,3,2021,51022420
7,4,2021,12476640
7,5,2021,20595350
7,6,2021,14654580
7,7,2021,136200100
8,0,2021,91263720
8,1,2021,103476700
8,2,2021,87854380
8,3,2021,46096080
8,4,2021,10849870
8,5,2021,22684110
8,6,2021,13581110
8,7,2021,124721200
9,0,2021,93636300
9,1,2021,114317900
9,2,2021,67383540
9,3,2021,16008220
9,4,2021,33095760
9,5,2021,18581710
9,6,2021,24106640
9,7,2021,171158200
10,0,2021,177584100
10,1,2021,90527980
10,2,2021,19097800
10,3,2021,43589190
10,4,2021,27322110
10,5,2021,27327460
10,6,2021,76473720
10,7,2021,125011300
11,0,2021,119458000
11,1,2021,42452000
11,2,2021,67469400
11,3,2021,40051900
11,4,2021,51043500
11,5,2021,123949000
11,6,2021,44993900
11,7,2021,118933000
12,0,2021,123484000
12,1,2021,31959000
12,2,2021,76611800
12,3,2021,43770800
12,4,2021,54202600
12,5,2021,133431000
12,6,2021,68547500
12,7,2021,129042000
13,0,2021,129655900
13,1,2021,94683290
13,2,2021,18178780
13,3,2021,48017250
13,4,2021,23729740
13,5,2021,34647090
13,6,2021,74305220
13,7,2021,135527300
14,0,2021,76536590
14,1,2021,28656580
14,2,2021,66628170
14,3,2021,36448740
14,4,2021,4411315
14,5,2021,11054130
14,6,2021,7612764
14,7,2021,104228700
15,0,2021,143845200
15,1,2021,96024710
15,2,2021,28679020
15,3,2021,53120340
15,4,2021,22507670
15,5,2021,34500080
15,6,2021,86999240
15,7,2021,142842100
16,0,2021,109742000
16,1,2021,25127100
16,2,2021,59894000
16,3,2021,33437500
16,4,2021,40006800
16,5,2021,86667300
16,6,2021,51290600
16,7,2021,106183000
17,0,2021,39017930
17,1,2021,61972200
17,2,2021,63933850
17,3,2021,51393860
17,4,2021,12400970
17,5,2021,24065990
17,6,2021,16009000
17,7,2021,150884900
18,0,2021,128746600
18,1,2021,134645700
18,2,2021,131079200
18,3,2021,46785170
18,4,2021,10209760
18,5,2021,23377490
18,6,2021,13353590
18,7,2021,133326600
19,0,2021,90072170
19,1,2021,74090450
19,2,2021,74527360
19,3,2021,14851450
19,4,2021,36903150
19,5,2021,23263130
19,6,2021,24895740
19,7,2021,166131500
20,0,2021,119242000
20,1,2021,25995600
20,2,2021,64472200
20,3,2021,46028800
20,4,2021,49004200
20,5,2021,104833000
20,6,2021,60193600
20,7,2021,139800000
21,0,2021,36426850
21,1,2021,93441650
21,2,2021,27887270
21,3,2021,43683860
21,4,2021,29279900
21,5,2021,31822440
21,6,2021,80911180
21,7,2021,147518600
22,0,2021,117630000
22,1,2021,36472000
22,2,2021,63678400
22,3,2021,44933900
22,4,2021,46460500
22,5,2021,106215000
22,6,2021,58045600
22,7,2021,126774000
23,0,2021,136289100
23,1,2021,77717630
23,2,2021,67028490
23,3,2021,13867340
23,4,2021,36819470
23,5,2021,19441410
23,6,2021,24291970
23,7,2021,137919900
24,0,2021,61198230
24,1,2021,99874490
24,2,2021,20743050
24,3,2021,46805620
24,4,2021,12955930
24,5,2021,20333870
24,6,2021,14583530
24,7,2021,153645600
25,0,2021,255943700
25,1,2021,99596270
25,2,2021,73842380
25,3,2021,47454970
25,4,2021,9913266
25,5,2021,22543300
25,6,2021,12233450
25,7,2021,115953100
26,0,2021,130926200
26,1,2021,89977990
26,2,2021,12384520
26,3,2021,31636800
26,4,2021,19743170
26,5,2021,25962450
26,6,2021,54427350
26,7,2021,122394400
27,0,2021,224766100
27,1,2021,99641230
27,2,2021,36741870
27,3,2021,66679960
27,4,2021,31553200
27,5,2021,33646890
27,6,2021,92401040
27,7,2021,154483200
28,0,2021,147759100
28,1,2021,58414090
28,2,2021,149427800
28,3,2021,48323230
28,4,2021,9030724
28,5,2021,24146270
28,6,2021,14057170
28,7,2021,139380600
29,0,2021,237625500
29,1,2021,87348990
29,2,2021,22479370
29,3,2021,40581620
29,4,2021,20168120
29,5,2021,30010110
29,6,2021,59218390
29,7,2021,115980200
30,0,2021,71770660
30,1,2021,43232300
30,2,2021,44836570
30,3,2021,55845980
30,4,2021,8978963
30,5,2021,25218630
30,6,2021,13607520
30,7,2021,148592400
31,0,2021,91744710
31,1,2021,31262530
31,2,2021,67552860
31,3,2021,15319960
31,4,2021,32781960
31,5,2021,20334520
31,6,2021,24381080
31,7,2021,151693500
32,0,2021,40103100
32,1,2021,58511050
32,2,2021,85318140
32,3,2021,49442050
32,4,2021,9776786
32,5,2021,27517970
32,6,2021,14938530
32,7,2021,148994500
33,0,2021,39691200
33,1,2021,105980400
33,2,2021,59719640
33,3,2021,48601340
33,4,2021,9422273
33,5,2021,23243430
33,6,2021,16605190
33,7,2021,165375300
34,0,2021,39760670
34,1,2021,169351900
34,2,2021,68960870
34,3,2021,17701010
34,4,2021,33176640
34,5,2021,19265580
34,6,2021,26600330
34,7,2021,149423200
35,0,2021,221762400
35,1,2021,89773210
35,2,2021,21791920
35,3,2021,50987430
35,4,2021,27817850
35,5,2021,33510130
35,6,2021,71157350
35,7,2021,123874400
36,0,2021,116019000
36,1,2021,23995500
36,2,2021,65367600
36,3,2021,32220700
36,4,2021,43303900
36,5,2021,82286900
36,6,2021,41739600
36,7,2021,113377000
37,0,2021,144174200
