Estimate Status,year,state,species,tot_harvest,PSE_tot_harvest,tot_rel,PSE_tot_rel,tot_catch,PSE_tot_catch
FINAL,2021,CONNECTICUT,SUMMER FLOUNDER,123387.00,29.30,724047.00,22.20,847434.00,19.40
FINAL,2021,DELAWARE,SUMMER FLOUNDER,102005.00,15.30,430915.00,12.80,532921.00,10.80
FINAL,2021,MARYLAND,SUMMER FLOUNDER,68757.00,21.60,526461.00,17.20,595218.00,15.40
FINAL,2021,MASSACHUSETTS,SUMMER FLOUNDER,52097.00,27.90,176682.00,23.80,228779.00,19.50
FINAL,2021,NEW JERSEY,SUMMER FLOUNDER,1349630.00,11.90,11933487.00,10.70,13283117.00,9.70
FINAL,2021,NEW YORK,SUMMER FLOUNDER,338285.00,25.20,4765644.00,13.60,5103929.00,12.80
FINAL,2021,NORTH CAROLINA,SUMMER FLOUNDER,13863.00,37.30,0.00,0.00,13863.00,37.30
FINAL,2021,RHODE ISLAND,SUMMER FLOUNDER,49463.00,21.90,486419.00,18.20,535882.00,16.70
FINAL,2021,VIRGINIA,SUMMER FLOUNDER,221123.00,18.70,1364890.00,20.20,1586013.00,17.60
FINAL,2021,CONNECTICUT,BLACK SEA BASS,837490.00,22.80,4637408.00,18.00,5474899.00,15.60
FINAL,2021,DELAWARE,BLACK SEA BASS,355694.00,29.10,1073739.00,15.40,1429433.00,13.70
FINAL,2021,MARYLAND,BLACK SEA BASS,212050.00,29.60,3559416.00,50.00,3771466.00,47.20
FINAL,2021,MASSACHUSETTS,BLACK SEA BASS,1212386.00,26.30,3791478.00,17.80,5003865.00,14.90
FINAL,2021,NEW JERSEY,BLACK SEA BASS,1929157.00,17.50,8884482.00,11.80,10813639.00,10.20
FINAL,2021,NEW YORK,BLACK SEA BASS,928474.00,13.20,7852486.00,13.80,8780959.00,12.40
FINAL,2021,NORTH CAROLINA,BLACK SEA BASS,50612.00,29.50,2172902.00,10.90,2223514.00,10.70
FINAL,2021,RHODE ISLAND,BLACK SEA BASS,509132.00,13.20,3189857.00,15.80,3698989.00,13.80
FINAL,2021,VIRGINIA,BLACK SEA BASS,444313.00,29.80,2984018.00,21.90,3428331.00,19.40
FINAL,2021,CONNECTICUT,SCUP,2839790.00,16.80,3753719.00,15.50,6593509.00,11.40
FINAL,2021,DELAWARE,SCUP,1790.00,93.50,448.00,95.20,2238.00,77.20
FINAL,2021,MARYLAND,SCUP,256.00,59.90,474.00,76.40,730.00,53.90
FINAL,2021,MASSACHUSETTS,SCUP,3691578.00,29.70,2875241.00,21.20,6566820.00,19.10
FINAL,2021,NEW JERSEY,SCUP,153170.00,52.70,204731.00,55.20,357901.00,38.80
FINAL,2021,NEW YORK,SCUP,7015727.00,17.40,5974440.00,16.20,12990167.00,12.00
FINAL,2021,NORTH CAROLINA,SCUP,2961.00,64.40,0.00,0.00,2961.00,64.40
FINAL,2021,RHODE ISLAND,SCUP,2762127.00,14.90,2263979.00,14.60,5026106.00,10.50
FINAL,2021,VIRGINIA,SCUP,128057.00,95.30,34066.00,61.20,162123.00,76.40
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
